60438992,90.4,2
51533535,200.4,3
68429951,786.9,11
24601613,12401.5,164
68429962,89.4,2
68430034,204.9,3
68430061,147.5,2
68430022,461.7,7
68430080,118.0,2
68429933,244.5,4
68429953,83.2,2
51533537,253.4,4
68430342,112.7,2
68430220,157.5,3
68430436,236.8,4
68430291,190.9,3
68429900,164.0,3
68430312,351.8,5
68429934,89.1,2
116985878,1348.6,18
68615890,304.5,5
51533534,202.4,3
68430269,505.6,7
116985886,2775.2,37
80952812,1342.1,18
51533538,260.7,4
68430019,225.1,3
51533541,210.9,3
68430145,176.9,3
116985879,1618.3,22
68429835,324.3,5
68430134,353.6,5
68430489,114.6,2
68607168,308.5,5
68430271,255.8,4
66264346,2541.6,34
116987487,4022.8,53
68430194,3092.6,41
68429928,48.6,1
51533532,2130.6,29
68430009,72.9,1
68623376,121.7,2
68623489,52.9,1
51535849,11809.6,156
68430408,101.8,2
68430430,292.0,4
68430214,188.4,3
68430321,74.9,1
68430263,121.5,2
51533536,248.3,4
68430385,236.3,4
68430091,136.2,2
51533539,192.0,3
68430496,391.1,6
68430090,297.6,4
68430463,405.4,6
68607252,354.7,5
51533542,207.8,3
68607225,314.0,5
68430149,255.7,4
68430099,832.0,11
51535847,3543.4,47
68430392,172.7,3
68430201,114.6,2
66264358,3290.4,44
68430191,140.0,2
68429981,191.0,3
68430248,114.6,2
68607207,292.5,4
68429841,97.7,2
68430200,166.6,3
51533533,210.3,3
32121949,800.6,11
68607247,392.8,6
68430038,144.6,2
68430109,114.6,2
68430506,241.9,4
117085716,2334.2,31
117085715,507.5,7
68430451,215.0,3
68430481,379.6,5
68430501,94.8,2
68430204,148.1,2
68430382,78.7,2
68429948,190.9,3
68430169,413.2,6
68430135,92.6,2
68607263,290.5,4
68430362,12017.6,159
68430116,190.9,3
60209359,512.7,7
68430355,187.8,3
68430071,531.1,7
68430277,731.4,10
116985881,6212.8,82
116987488,3454.2,46
68615867,315.4,5
116987486,8949.6,118
68430148,114.6,2
117365985,424.9,6
117085717,5164.6,68
117367358,493.6,7
117368492,332.5,5
117368499,338.4,5
117368494,483.4,7
142831233,623.3,9
142831227,469.5,7
117368696,1165.4,16
142831223,342.9,5
117368090,113.5,2
117365987,407.2,6
117368116,344.6,5
117369056,150.7,2
117369331,332.7,5
142831232,719.0,10
142831239,250.4,4
142831224,373.1,5
142831229,284.5,4
117368497,111.1,2
142831231,1299.6,18
117365984,418.0,6
142831257,249.5,4
117368889,1546.6,21
142831225,517.0,7
142831238,39.1,1
142831246,261.0,4
142831259,267.4,4
117365986,413.6,6
142831241,116.2,2
142831249,248.0,4
142831260,223.7,3
142831252,518.6,7
142831243,351.4,5
142831251,246.6,4
117368091,521.8,7
142831235,123.0,2
142831250,458.9,7
68430270,172.9,3
142831269,273.0,4
142831256,195.3,3
142831276,447.6,6
142831248,91.2,2
142831253,141.3,2
142831282,112.2,2
142831280,298.6,4
142831278,117.5,2
142831287,26.0,1
142831262,252.6,4
142831263,239.4,4
142831292,143.5,2
142831266,342.1,5
142831288,150.2,2
142831274,310.0,5
142831273,163.9,3
142831293,184.6,3
142831295,236.4,4
142831279,208.1,3
142831301,139.8,2
142831270,865.2,12
142831308,169.2,3
142831310,253.7,4
142831283,202.3,3
142831306,137.5,2
142831328,415.3,6
142831327,33.7,1
142831304,404.2,6
142831319,179.6,3
142831322,312.9,5
142831272,249.2,4
142831330,269.3,4
142831271,118.4,2
142831300,173.5,3
142831275,103.2,2
142831302,166.8,3
142831312,208.9,3
142831329,114.0,2
142831267,398.0,6
142831277,239.6,4
142831336,313.3,5
142831325,233.8,4
142831318,101.0,2
142831307,108.1,2
142831296,209.6,3
142831309,252.4,4
142831316,238.5,4
142831286,255.7,4
142831285,430.6,6
142831303,239.9,4
142831314,104.5,2
142831331,120.0,2
142831284,104.5,2
142831320,261.4,4
142831315,361.1,5
