way_id,node_lat,node_lon
37013309,-8.7963579,13.2664704
37010177,-8.8013001,13.2438169
37015833,-8.7948437,13.2640365
37053682,-8.796812,13.2459688
37013317,-8.8281977,13.2446146
37023665,-8.8093584,13.2386815
37087478,-8.7973625,13.2600638
37015818,-8.8041502,13.2595346
37086784,-8.8045367,13.2565525
37013316,-8.8058299,13.2590828
37086826,-8.80425,13.2550375
37053690,-8.8122859,13.249289
37015809,-8.829122,13.2747131
37013312,-8.8023723,13.2619172
37086825,-8.8006593,13.2545095
37053628,-8.8045322,13.257991
37013310,-8.8006338,13.2436012
37086797,-8.8122274,13.2453364
37053639,-8.8023426,13.2557888
37086794,-8.8033949,13.26034
37010087,-8.7989236,13.2448309
37010162,-8.8058668,13.2569751
37086817,-8.7989173,13.2581322
37053681,-8.8057318,13.2450557
37086778,-8.8017483,13.2549401
37086800,-8.8295473,13.2513855
37087477,-8.811164,13.2312761
37086806,-8.8029905,13.258185
37086818,-8.79748,13.2578586
37015825,-8.8037024,13.2576019
37086802,-8.8057655,13.2574705
37015820,-8.8055949,13.2567485
37013328,-8.7858184,13.3109492
37010144,-8.8302539,13.2754025
37086787,-8.8042058,13.251959
37015823,-8.8058518,13.2585659
37010115,-8.801595,13.2432948
37013314,-8.8034115,13.2590712
37015836,-8.8023649,13.2507744
37023664,-8.8094643,13.2399096
37015837,-8.7989552,13.2770137
37023640,-8.8052908,13.2566383
37010160,-8.7816408,13.3167857
37087480,-8.7998501,13.2453932
37087481,-8.7988031,13.2587635
37087484,-8.8036552,13.2549416
37087490,-8.8165657,13.2480842
37087495,-8.8290824,13.2756038
37087489,-8.8295146,13.2752007
37087487,-8.8034292,13.2567597
37087486,-8.8022268,13.2531726
37087494,-8.7887054,13.3162223
37087502,-8.8127932,13.233625
37087501,-8.7978563,13.265372
37087510,-8.8255938,13.2551852
37087516,-8.8033432,13.2576762
37087520,-8.8295479,13.2763897
37087504,-8.8020129,13.2461795
37087508,-8.7986519,13.2592501
37087505,-8.831272,13.275172
37087511,-8.8037221,13.2434211
37087507,-8.7989555,13.2569917
37087513,-8.8025906,13.2486173
37087523,-8.7995385,13.2573063
37087514,-8.8046866,13.2598981
37087522,-8.8048492,13.2576349
37086814,-8.8038628,13.2756838
37053686,-8.8114461,13.2342551
37086796,-8.8035251,13.251448
37053676,-8.8111254,13.2461973
37086820,-8.7976885,13.2573831
37053679,-8.8032807,13.2532124
37087526,-8.7960762,13.2463436
37086821,-8.8054093,13.2551031
37087525,-8.8247817,13.2477252
37013327,-8.8058673,13.2550196
37010124,-8.8054366,13.2598999
37015897,-8.803411,13.2522423
37053689,-8.7982558,13.2584597
37087529,-8.83032,13.2748327
37010097,-8.7863483,13.3146528
37087528,-8.8296953,13.2756782
37087532,-8.8295591,13.2762182
37087531,-8.8004729,13.2584765
50464156,-8.8023798,13.2752864
50543690,-8.7812909,13.317762
50543751,-8.7844398,13.3149103
50543777,-8.8026739,13.2598844
50543698,-8.8080095,13.2990852
50548410,-8.7794884,13.3227616
37015813,-8.7841853,13.3098463
50548412,-8.7836123,13.311575
37086803,-8.78673,13.313655
37087475,-8.801542,13.3133546
50548422,-8.7833432,13.3124397
50548421,-8.7795738,13.2959452
37086805,-8.7792993,13.2959669
37086799,-8.7783435,13.2968615
37086829,-8.7787321,13.296766
37086812,-8.7771868,13.2979459
37015822,-8.7783452,13.29829
50548449,-8.7962728,13.2769493
50560880,-8.7953927,13.2769171
50560874,-8.7783425,13.2950707
50548413,-8.7745957,13.2980751
50560882,-8.778297,13.2964647
50560886,-8.7786634,13.2978714
50560887,-8.7786738,13.2957676
50548409,-8.7783428,13.297859
50560889,-8.7831342,13.3128411
37087483,-8.7979798,13.2756726
50560883,-8.7772133,13.2971629
50560893,-8.7759269,13.2981068
50560925,-8.7879311,13.3252061
50560894,-8.7761839,13.2990514
50560933,-8.7784889,13.2991606
50560961,-8.778396,13.2997368
50563131,-8.7865604,13.3140734
50563137,-8.7829553,13.3086661
50543773,-8.7761293,13.2997585
50563142,-8.8377164,13.2231211
50563144,-8.8027509,13.275104
50563147,-8.8382152,13.2217986
50563151,-8.8131417,13.2357843
50563159,-8.7830296,13.3066383
50563157,-8.7847996,13.2986757
50563162,-8.8353965,13.2330729
50563145,-8.8332207,13.250901
50563163,-8.7843095,13.2979527
50563156,-8.8367402,13.2218716
50543703,-8.7858539,13.2978323
50563160,-8.8376134,13.2208231
50543735,-8.9307493,13.1878653
50563168,-8.8376707,13.2220216
50563165,-8.8369616,13.2210993
50563176,-8.8354455,13.2215426
50563166,-8.8369504,13.2301476
50563169,-8.8256701,13.2389764
50635999,-8.8381452,13.2240134
50636006,-8.8841288,13.1788537
50560879,-8.8853371,13.2490621
50636012,-8.9064503,13.1999087
50636010,-8.8298936,13.2511394
50636001,-8.9079821,13.1994183
60167078,-8.908448,13.1991875
60333205,-8.7825418,13.3089558
60152756,-8.9087065,13.1987258
60132356,-8.814808,13.2682764
60333218,-8.8033331,13.2544164
60120339,-8.8146694,13.2700951
60333226,-8.8123533,13.2633143
60333225,-8.8027621,13.2631059
60333228,-8.8154497,13.2524886
60333229,-8.7797535,13.3219677
60333239,-8.797532,13.2455992
60333237,-8.8167945,13.2259326
50560890,-8.8048315,13.2531996
60334858,-8.8140277,13.2564913
60334854,-8.8285862,13.2416031
60443745,-8.814798,13.2561472
60333217,-8.8038289,13.2578554
60352087,-8.8115898,13.2331498
61727769,-8.8233698,13.233067
61787788,-8.8284113,13.2400893
61787798,-8.8294537,13.2399353
61787815,-8.8136322,13.2566916
61787840,-8.8034533,13.2518581
61797711,-8.8116388,13.2285209
61814329,-8.8178774,13.2300877
61814330,-8.8799812,13.2663381
61814337,-8.8017955,13.2566304
61814332,-8.8240982,13.2473961
61814335,-8.8808386,13.2657321
61814452,-8.796797,13.2647146
61815127,-8.8289951,13.2391397
61815886,-8.8279098,13.2387148
60120337,-8.8267913,13.2387327
61816284,-8.8283472,13.2392343
61869974,-8.829701,13.2748223
61870010,-8.8322934,13.2317785
61870067,-8.7990884,13.2581671
61870099,-8.8145854,13.2317648
61870208,-8.8098552,13.2386479
61884992,-8.7844437,13.2991305
61885002,-8.831269,13.2748484
61885526,-8.817369,13.297454
61885523,-8.825476,13.2939144
61884995,-8.817605,13.2960521
61885915,-8.803362,13.255388
61885926,-8.8052383,13.259775
61885540,-8.8108698,13.2459271
62125010,-8.8448009,13.2609784
62125016,-8.79807,13.2589637
62372074,-8.7966193,13.2600998
62645708,-8.8185099,13.296104
37010089,-8.800682,13.2556873
37023663,-8.8037801,13.2525113
37086828,-8.8128722,13.2489526
37087476,-8.8007732,13.2508624
37015824,-8.8012602,13.2550183
37053652,-8.7884797,13.3110243
37015821,-8.8035152,13.2590917
37015896,-8.8040256,13.260723
37013308,-8.8040979,13.2534531
37013311,-8.8300467,13.2519956
37086804,-8.861737,13.2606564
37086785,-8.8042446,13.2532483
9741734,-8.7845506,13.325448
62645719,-8.7958275,13.2768957
37086021,-8.8032774,13.2570745
62645720,-8.8341489,13.2350455
37086798,-8.8052326,13.2555708
37086801,47.826245,-98.4355
62646474,-8.8617013,13.2601697
62646475,-8.8224402,13.2950777
37015835,-8.7982342,13.245207
37086822,-8.8281031,13.2746327
37013326,-8.7789629,13.3192218
62646477,-8.8029086,13.2471144
62646478,-8.8297667,13.2509875
62646481,-8.8064693,13.256465
62646480,-8.8284418,13.2437403
37053680,-8.7850162,13.2993021
62646484,-8.805568,13.2583854
37010163,-8.803424,13.2588656
37086819,-8.7975996,13.2693036
37086811,-8.8455743,13.2624956
62646485,-8.8002381,13.2754687
67490765,-8.8038466,13.2573792
37087479,-8.798722,13.2765953
37087488,-8.7892749,13.3118933
37087482,-8.8988307,13.2636731
37087503,-8.7809834,13.3185345
