way_id,node_lat,node_lon
4129326,11.8388956,-15.5909046
129859248,11.8419753,-15.5979565
4129324,11.8421669,-15.5981022
129859251,11.8439512,-15.5962766
129863858,11.8412538,-15.5989886
129868005,11.8512595,-15.6000027
129859373,11.8510048,-15.5992143
129859380,12.1341537,-16.0412013
129864012,11.844207,-15.5959706
129859377,11.8550122,-15.6112204
129859372,11.8531275,-15.5972672
129869216,11.8419577,-15.5982306
129864008,11.8528273,-15.5971286
129864270,11.854761,-15.6110038
129869217,11.8392058,-15.5910477
129859379,11.8411697,-15.5986003
129859249,11.851018,-15.6001493
129877095,11.8396247,-15.5907165
4130654,11.8349824,-15.5986725
129869221,11.838717,-15.590887
129889321,11.8389936,-15.5902853
129868004,11.8415445,-15.5987527
129890787,11.8559999,-15.6105978
129890788,11.8389676,-15.590693
129877091,11.8440948,-15.5960855
129864013,12.1310547,-16.0403999
129892559,11.8389714,-15.5910047
129892564,11.8722334,-15.6374611
129889458,11.8391658,-15.5915682
129864651,12.0469127,-15.6849477
129877093,11.8438767,-15.5959468
129892550,11.8394987,-15.5904743
129892552,11.8339773,-15.5985546
129892556,11.8425854,-15.598841
129864652,11.8418746,-15.5981305
129859378,11.8512163,-15.5994283
129900543,11.834281,-15.5991968
129889320,11.8427236,-15.6001261
129869214,11.8418146,-15.5978347
129864007,11.8547524,-15.6112087
129900588,11.8386495,-15.5960817
129877094,11.8395377,-15.5906307
129889317,11.8346805,-15.5982989
129859250,11.8417583,-15.598851
129900544,11.8510635,-15.5997542
129889459,11.8425749,-15.5992593
129869223,11.8393828,-15.5901197
129900540,11.8396945,-15.5904506
129869215,11.841869,-15.5990477
129869222,11.8386412,-15.5907909
129864010,11.8413694,-15.5989975
129892560,11.8391836,-15.5900523
129900538,11.8444026,-15.5959595
129892551,11.8409069,-15.5991238
129895806,11.8438307,-15.5961654
129900533,11.8553059,-15.6110184
129889311,11.8393168,-15.5898718
129889313,11.8417515,-15.5984524
129889312,11.838813,-15.5908075
129892553,11.8388689,-15.5910864
129892562,11.8552978,-15.6112302
129859374,12.0572921,-16.0209742
129900539,11.8428624,-15.5996007
129889309,11.8413953,-15.5988743
129859376,11.8384618,-15.5905576
129900532,11.8814735,-15.6484995
129900541,11.8383163,-15.5906804
129864277,11.8560066,-15.6103804
129889318,11.8510415,-15.5992309
129864271,11.8391916,-15.5908617
129863855,11.8544659,-15.6112019
129889319,11.8394737,-15.5916094
129889456,11.8336568,-15.5987804
129889322,11.8435532,-15.5953922
129869220,11.8513756,-15.6001361
129869219,11.8395754,-15.5912476
129868009,11.8389411,-15.5905032
129864014,11.8387035,-15.5899491
129859375,11.8344653,-15.5982506
129890789,11.8414993,-15.5935871
129868008,11.8544745,-15.610996
129864011,11.8433406,-15.5952645
129864272,11.8414504,-15.593423
4130475,11.8407094,-15.5992498
129900535,11.8555282,-15.6107278
129900536,11.8528989,-15.5976693
129892563,11.8423016,-15.598863
129890786,11.8385615,-15.5906957
129900537,11.8813397,-15.6484331
129877092,11.851076,-15.5993363
129869218,11.841964,-15.598255
129900534,11.853028,-15.5976035
129892558,11.8511488,-15.5998555
129892555,11.8528772,-15.5978944
129889457,11.8387948,-15.590991
129900542,11.8346253,-15.5994033
129900587,11.8512965,-15.5997545
129900589,11.8529986,-15.5977545
129901000,11.8413953,-15.5988743
129901002,11.8434023,-15.5955058
129901003,11.8397123,-15.5914116
129900590,11.8820094,-15.6484723
129901006,11.8814706,-15.6480128
129901004,11.8821166,-15.6488432
129901007,11.8809433,-15.6480183
129901009,11.8818088,-15.6485668
129901008,11.8813547,-15.64778
129901025,11.8812984,-15.6487165
129901010,11.8816446,-15.6489225
129901023,11.8816908,-15.6481939
129901026,11.881733,-15.6477956
129901005,11.8804842,-15.6471501
129901021,11.8818473,-15.6476015
129901075,11.8811548,-15.6485718
129901012,11.8810398,-15.6484321
129901076,11.8807123,-15.6473292
129901072,11.8830958,-15.647362
129901024,11.8811435,-15.6474293
129901082,11.8811007,-15.6477755
129901074,11.8819622,-15.6487296
129901067,11.8825625,-15.6475342
129901070,11.882714,-15.6479255
129901011,11.8819576,-15.6478746
129901022,11.8816161,-15.6486381
129901078,11.8820469,-15.6482362
129901073,11.8805418,-15.6472486
129901027,11.8814012,-15.647062
129901001,11.8806176,-15.6470634
129901083,11.8804674,-15.6471613
129901080,11.8834429,-15.6467019
129901068,11.8824822,-15.6482629
129901079,11.8820547,-15.6489899
129901081,11.8828522,-15.6471537
129901201,11.882264,-15.6460162
129901210,11.8807011,-15.647927
129901077,11.8822416,-15.6479703
129863854,11.8814722,-15.6471356
129892548,11.8416037,-15.5933817
129901020,11.8823094,-15.648335
129901071,11.8825023,-15.6464449
129901069,11.8816286,-15.6465175
129901199,11.8829151,-15.6472049
129901204,11.8813207,-15.6467218
129901208,11.8803633,-15.6465542
129901200,11.8801607,-15.6465364
129895835,11.8835114,-15.6464865
129901203,11.8819369,-15.6462707
129901212,11.8824466,-15.6478133
129901263,11.8825896,-15.6481283
129901211,11.8810666,-15.6468547
129901262,11.8818031,-15.6468953
129901084,11.882317,-15.6470169
129901274,11.8829472,-15.6464456
129901276,11.8550208,-15.6110116
129901283,11.8827499,-15.6465171
129901202,11.8810786,-15.6480787
129901259,11.881258,-15.6473607
129901261,11.8810862,-15.6472597
129901209,11.8824504,-15.6471305
129901265,11.8824081,-15.6464775
129901285,11.8825933,-15.6467294
129901271,11.8823987,-15.6478332
129901273,11.8807486,-15.6476671
129901258,11.8815472,-15.6468692
129901269,11.8810276,-15.6465113
129901311,11.8802399,-15.6470184
129901288,11.8806244,-15.6465649
129901289,11.8822334,-15.6480122
129901316,11.8816596,-15.6472166
129901272,11.8810512,-15.6475996
129901290,11.8831751,-15.6464091
129901264,11.882309,-15.6464976
129901270,11.8820952,-15.6462058
129901287,11.8832985,-15.6461328
129901370,11.8823013,-15.6463243
129901286,11.8798759,-15.6460812
129901309,11.8832009,-15.6467742
129901308,11.8807064,-15.6466816
129901312,11.8804425,-15.6470891
129901371,11.8802703,-15.6467322
129901281,11.8823235,-15.6473696
129901268,11.883013,-15.6468941
129901314,11.8802807,-15.6471785
129901313,11.8804954,-15.6467724
129901307,11.8808079,-15.6472497
129901267,11.8809128,-15.6478176
129901282,11.8818762,-15.6471075
129901277,11.8822856,-15.6461418
129901310,11.8820659,-15.6460064
129901279,11.8819942,-15.6468431
129901280,11.8830423,-15.6461549
129901275,11.8732729,-15.6375953
129901266,11.88217,-15.6471409
129901260,11.8800368,-15.6462597
129901278,11.8803469,-15.6464215
129901315,11.8817507,-15.6463356
129901284,11.8802328,-15.6470299
129901372,11.882741,-15.6465606
129901380,11.8797495,-15.646138
129901379,11.8821238,-15.6475666
129901383,11.8797049,-15.6460577
129901381,11.8798777,-15.6463686
129901384,11.8802268,-15.6460603
129901385,11.8806496,-15.6457215
129901382,11.8805201,-15.6458688
129901388,11.8815845,-15.6462354
129901386,11.8832562,-15.6452133
129901391,11.8805087,-15.6461952
129901392,11.8809673,-15.6461592
129901413,11.8803128,-15.6459931
129901389,11.8816323,-15.6452614
129901415,11.8802768,-15.6459049
129901430,11.8811475,-15.6454934
129901433,11.8819677,-15.6454629
129901487,11.8801039,-15.64602
129901390,11.8827887,-15.6450036
129901492,11.8809411,-15.6455792
129901434,11.8817761,-15.6455434
129901488,11.8819977,-15.6458439
129901443,11.8823267,-15.6457196
129901397,11.8829063,-15.645694
129901431,11.880695,-15.6460384
129901394,11.881395,-15.6459952
129901445,11.8824714,-15.6450259
129901417,11.8805966,-15.645989
129901444,11.8824301,-15.6455645
129901452,11.8832452,-15.6456237
129901486,11.8819644,-15.6448497
129901485,11.8829704,-15.645972
129901450,11.8808472,-15.6462357
129901490,11.8830353,-15.6453126
129901449,11.8821805,-15.6455958
129901446,11.8825024,-15.6454013
129901497,11.8808274,-15.6459663
129901416,11.8813835,-15.6453089
129901395,11.8817576,-15.6448712
129901396,11.8813086,-15.6464135
129901495,11.8814413,-15.6458056
129901489,11.8815608,-15.6454706
129901500,11.8830119,-15.6457635
129901451,11.8827528,-15.6457105
129901493,11.882724,-15.6487924
129901531,11.8818288,-15.6452861
129901447,11.8814917,-15.6450867
129901496,11.8824341,-15.6487983
129901484,11.8836781,-15.6495993
129901448,11.8830994,-15.6454735
129901499,11.8811068,-15.6457796
129901867,11.8836327,-15.6496076
129901529,11.8829428,-15.6456188
129901869,11.8819149,-15.6450541
129901530,11.8821805,-15.6452804
129901532,11.8812498,-15.6464247
129901494,11.8817424,-15.6493117
129901527,11.8827612,-15.645933
129901544,11.881607,-15.6449793
129901418,11.883251,-15.645204
129901432,11.8828523,-15.649371
129901491,11.8821774,-15.6449925
129901872,11.8830406,-15.6489628
129901876,11.8824199,-15.6490388
129901875,11.8826224,-15.6491117
129901878,11.8821706,-15.6494768
129901528,11.8812855,-15.645654
129901873,11.8838995,-15.6493884
129901879,11.8821231,-15.6446313
129901890,11.8825452,-15.6495531
129901871,11.8834388,-15.6501958
129901533,11.8830022,-15.645733
129901866,11.8842376,-15.6499963
129901498,11.8846064,-15.6499875
129901889,11.8825415,-15.6493293
129901883,11.8843667,-15.6500781
129901865,11.882361,-15.6492147
129901893,11.8857661,-15.6495863
129901955,11.8835328,-15.6501302
129901882,11.8826969,-15.648234
129901884,11.8824605,-15.6489061
129901958,11.8816866,-15.6457634
129901868,11.8832627,-15.6496051
129901894,11.8823105,-15.6493401
129901885,11.8810542,-15.6454531
129901874,11.8823749,-15.6496198
129901881,11.8826597,-15.6484948
129901956,11.8830932,-15.6495135
129901957,11.8799473,-15.6459971
129901954,11.8829787,-15.6498346
129901887,11.8819885,-15.6493577
129901870,11.8831917,-15.6498927
129901877,11.8823835,-15.6486452
129901888,11.885007,-15.6495096
129901880,11.8829036,-15.6484597
129901886,11.8842329,-15.6496787
129901891,11.8836054,-15.6499706
129901959,11.8838664,-15.6498421
129901960,11.8851483,-15.6497398
129901892,11.8843483,-15.6494789
129901995,11.8836118,-15.6497385
129901964,11.8822389,-15.6496975
129901965,11.8848474,-15.6492263
129901998,11.8847028,-15.6488438
129901963,11.8849096,-15.6498393
129901997,11.8850701,-15.6490959
129901994,11.8853873,-15.6485119
129901961,11.8828525,-15.6498711
129901996,11.8855426,-15.6495863
129902003,11.8851961,-15.6489789
129902000,11.8851834,-15.6489295
129902004,11.8849275,-15.648557
129902002,11.8853475,-15.6492416
129902001,11.8852225,-15.6494279
129901999,11.8847563,-15.6494076
129902005,11.8840265,-15.6486826
129902009,11.8833968,-15.6457614
129902010,11.8836374,-15.6483953
129902012,11.8845664,-15.6464769
129902008,11.8851364,-15.6492072
129902189,11.8849603,-15.6493122
129902187,11.8850221,-15.6472442
129902011,11.8839417,-15.6491173
129902192,11.8835359,-15.6491406
129902006,11.8847509,-15.6494514
129902033,11.8835584,-15.6458066
129902191,11.8848972,-15.6491633
129902036,11.8840109,-15.6476995
129902196,11.8842848,-15.6472233
129902188,11.8847089,-15.6470027
129902034,11.8847328,-15.6463304
129902194,11.8837877,-15.6455216
129902195,11.8835064,-15.6459773
129902039,11.8845528,-15.6472974
129902190,11.884755,-15.64713
129902198,11.8838101,-15.6472904
129902038,11.8841501,-15.6466949
129902007,11.8837097,-15.6477633
129902035,11.8853538,-15.6487871
129902308,11.8843393,-15.6476772
129902302,11.8843449,-15.6461645
129902306,11.8764545,-15.6605806
129902037,11.8848608,-15.647055
129902203,11.8833697,-15.6479241
129902307,11.8838546,-15.6480724
129902199,11.8846828,-15.6487658
129902202,11.8837035,-15.6471046
129902315,11.8835516,-15.6461214
129902204,11.884003,-15.647261
129902305,11.8850732,-15.6482957
129902197,11.8847968,-15.6466173
129902201,11.8849794,-15.6461115
129902301,11.8837804,-15.6492031
129902193,11.8765265,-15.660836
129902304,11.8771035,-15.6602921
129902323,11.878633,-15.6622026
129902314,11.8844253,-15.6469571
129902318,11.8841401,-15.6470213
129902313,11.8831086,-15.647963
129902200,11.8831606,-15.6481779
129902312,11.8847149,-15.6469818
129902310,11.8837629,-15.6487343
129902321,11.8843838,-15.6471134
129902327,11.883577,-15.6470593
129902352,11.8841813,-15.6461991
129902324,11.8846065,-15.6470559
129902326,11.8776562,-15.6609804
129902309,11.8773403,-15.6605751
129902452,11.8764513,-15.6607791
129902325,11.8841975,-15.6474918
129902348,11.8835931,-15.6461518
129902303,11.8754926,-15.6594684
129902316,11.8762383,-15.6597754
129902354,11.8847354,-15.6466059
129902460,11.875407,-15.6595801
129902347,11.8794261,-15.662697
129902311,11.8788815,-15.662164
129902353,11.8834085,-15.647352
129902457,11.8841996,-15.6463102
129902459,11.8841919,-15.6483844
129902350,11.8840738,-15.6469847
129902346,11.8796561,-15.6624488
129902453,11.87583,-15.6603253
129902456,11.8753208,-15.6597041
129902322,11.8843111,-15.6464961
129902349,11.8838176,-15.6465708
129902328,11.8792645,-15.6619738
129902345,11.8794256,-15.6614585
129902320,11.8771605,-15.6605219
129902455,11.8796155,-15.6625876
129902458,11.8836156,-15.6469866
129902329,11.8791502,-15.6624221
129902351,11.8788955,-15.6624079
129902319,11.8832304,-15.6478177
129902317,11.8787241,-15.6622621
129902357,11.8767098,-15.66078
129902461,11.8838628,-15.6470359
129902454,11.8833413,-15.6481536
129902356,11.8832862,-15.6476973
129902355,11.8793826,-15.6622755
129902463,11.8791391,-15.6609056
129902462,11.882789,-15.6491746
129902471,11.8793162,-15.6623598
129902468,11.8793094,-15.6612466
129902465,11.8794745,-15.6623099
129902470,11.879624,-15.6615619
129902466,11.8788366,-15.6621988
129902464,11.8791112,-15.6620702
129902467,11.8804569,-15.6617403
129902474,11.8790369,-15.6611421
129902472,11.8792394,-15.6625488
129902469,11.8786667,-15.6616319
129902477,11.8787568,-15.6609773
129902475,11.8786962,-15.6616193
129902473,11.880401,-15.6635664
129902476,11.8792402,-15.6623047
129902478,11.8797145,-15.6626473
129902479,11.8816776,-15.6637153
129902546,11.8789578,-15.6617953
129902548,11.8807442,-15.6635409
129902540,11.8816163,-15.6635498
129902537,11.8796962,-15.6619985
129902545,11.8800108,-15.6632542
129902543,11.8810277,-15.6633804
129902533,11.8796254,-15.663076
129902538,11.8800928,-15.6630974
129902534,11.8802967,-15.6635055
129902536,11.880942,-15.6628773
129902552,11.8794967,-15.6627039
129902542,11.8814224,-15.6640192
129902539,11.8800684,-15.66236
129902563,11.8800746,-15.6634875
129902558,11.880912,-15.6636238
129902553,11.8800407,-15.6625735
129902557,11.8806244,-15.6630619
129902535,11.8798218,-15.6631852
129902549,11.8804794,-15.6634954
129902550,11.888869,-15.6588736
129902555,11.8797734,-15.6631329
129902564,11.883386,-15.6611503
129902547,11.8831729,-15.6612429
129902577,11.8796715,-15.6628624
129902544,11.8802639,-15.6628059
129902551,11.8795844,-15.6620078
129902679,11.8887749,-15.6481978
129902554,11.8802647,-15.6634674
129902574,11.8853477,-15.6600027
129902681,11.8830148,-15.6627385
129902541,11.8812269,-15.6623676
129902571,11.881158,-15.6625946
129902570,11.8875256,-15.6585485
129902678,11.8835764,-15.6603095
129902682,11.8808403,-15.6624193
129902677,11.8809415,-15.6626255
129902686,11.88779,-15.6584821
129902695,11.8895248,-15.6479091
129902568,11.8886791,-15.6476343
129902693,11.8824991,-15.6622221
129902689,11.8805536,-15.6622039
129902576,11.8804992,-15.6631495
129902697,11.8827193,-15.6616122
129902692,11.8889526,-15.6469606
129911634,11.8888999,-15.6604091
129902691,11.8810479,-15.6635876
129902696,11.8890877,-15.6589883
129911639,11.8890546,-15.6484914
129911637,11.8886245,-15.6486281
129911650,11.8889949,-15.64758
129911643,11.8804321,-15.6629013
129902687,11.8799253,-15.6620818
129911649,11.8827135,-15.662798
129911647,11.8889994,-15.6583848
129911654,11.8892242,-15.6479856
129911646,11.8885396,-15.6478328
129902680,11.88879,-15.6475334
129911657,11.8883649,-15.6481609
129911648,11.888804,-15.6488709
129911640,11.8893299,-15.6483385
129911636,11.8881503,-15.647915
129911656,11.8883301,-15.6580408
129911653,11.8879458,-15.648134
129911645,11.8884217,-15.6486837
129911642,11.8817665,-15.6617334
129911632,11.8836028,-15.6609326
129902688,11.8881212,-15.6484089
129911658,11.8892512,-15.6488322
129911633,11.887182,-15.6475366
129911652,11.8892004,-15.6486189
129911644,11.8877659,-15.6478713
129902694,11.8878526,-15.6487521
129911651,11.8886857,-15.6581998
129911638,11.8868778,-15.6587579
129911635,11.8894053,-15.6586165
129911655,11.8895217,-15.647928
129911641,11.8834972,-15.6623462
129902683,11.8881283,-15.6481486
129902685,11.8891343,-15.648937
129902684,11.8888995,-15.6485442
129902676,11.8871992,-15.6484827
129911659,11.8884521,-15.6484058
129911660,11.8870175,-15.6484283
129911664,11.887932,-15.6478766
129911759,11.8876791,-15.6507688
129911755,11.8892356,-15.6508183
129911765,11.8879458,-15.6482439
129911763,11.8877767,-15.6509619
129911667,11.8891269,-15.6501509
129911661,11.8896409,-15.6510112
129911666,11.8882746,-15.6487767
129911662,11.8885704,-15.6488258
129911768,11.8894159,-15.651167
129911757,11.8888501,-15.6487275
129911767,11.8879551,-15.6515239
129911948,11.8893206,-15.6478682
129911665,11.8398631,-15.5893117
129911756,11.8882289,-15.6517716
129911761,11.8878323,-15.6515443
129911949,11.8608278,-15.577114
129912235,11.8623829,-15.57725
129911663,11.8307799,-15.6633972
129911952,11.8323061,-15.6615104
129911947,11.8399556,-15.5894154
129912334,11.8398631,-15.5892983
129912337,11.8403675,-15.5888798
129912333,11.8622518,-15.5770611
129912338,11.8613887,-15.5778138
129913084,11.861666,-15.5767355
129911950,11.8893309,-15.6478514
129913085,11.8403011,-15.589716
129912336,11.8666071,-15.5740846
129912456,11.8402657,-15.5893699
129912457,11.8314977,-15.6625081
129911951,11.861661,-15.5774487
129912335,11.8614258,-15.5776038
129913089,11.8314633,-15.6616304
129913094,11.8310232,-15.6634261
129913087,11.8308896,-15.6626113
129913086,11.8320495,-15.6620218
129913097,11.8303316,-15.6632613
129913092,11.8326636,-15.6596733
129913099,11.8306107,-15.662067
129913093,11.8303084,-15.6633665
129913090,11.8322883,-15.6616624
129912459,11.8315683,-15.6611215
129913101,11.8303506,-15.6626884
129913105,11.8308042,-15.6623654
129913106,11.8673459,-15.5739639
129913104,11.8305345,-15.663781
129913100,11.8315274,-15.6618046
129913096,11.8316367,-15.6625233
129912458,11.8317736,-15.6623394
129913102,11.8327003,-15.6612125
129913095,11.8678585,-15.5742321
129913103,11.830884,-15.6626217
129913113,11.8305826,-15.6624444
129913098,11.8331027,-15.6608508
129913109,11.8327851,-15.6610963
129913115,11.8310574,-15.6631472
129913116,11.8311205,-15.6620364
129913114,11.831244,-15.6621929
129913112,11.8351746,-15.6576268
129913117,11.8309384,-15.6634755
129913119,11.8313415,-15.6626411
129913118,11.830138,-15.6634859
129913107,11.8319417,-15.6622065
129913121,11.8307346,-15.6635211
129913123,11.8682064,-15.574054
129913124,11.834295,-15.6586476
129913108,11.8309934,-15.6632946
129913110,11.8327272,-15.6604627
129913127,11.8326461,-15.6604863
129913130,11.8336164,-15.6601591
129913126,11.8335969,-15.6593695
129913111,11.8327022,-15.6595146
129913135,11.8305268,-15.662544
129913133,11.8318085,-15.6613608
129913125,11.8333935,-15.6605104
129913128,11.8307175,-15.6634846
129913120,11.8304262,-15.6630729
129913138,11.8324654,-15.6607955
129913137,11.8313296,-15.6628797
129913129,11.831714,-15.6613213
129913132,11.8324616,-15.661328
129913240,11.8333573,-15.6597019
129902565,11.8307187,-15.6624733
129913243,11.8311079,-15.663341
129913088,11.8344891,-15.6590501
129913122,11.8358783,-15.6573463
129913136,11.8329933,-15.6600903
129913134,11.8347916,-15.6577142
129913244,11.8805944,-15.6625371
129913242,11.830196,-15.6631039
129913245,11.8329279,-15.6609314
129913236,11.8345325,-15.6583085
129913131,11.8349968,-15.6574878
129913241,11.8331446,-15.6597475
129913237,11.8316099,-15.6616686
129913239,11.8352625,-15.6569839
129913091,11.8314307,-15.6612901
129913247,11.8339556,-15.6596839
129913246,11.8343043,-15.6597528
129913248,11.8333894,-15.6594522
129913398,11.8343822,-15.6591926
129913251,11.8352274,-15.6575835
129913401,11.838381,-15.655239
129913252,11.8346785,-15.6580881
129913254,11.8350363,-15.6574004
129913404,11.8382679,-15.6550729
129913253,11.8358836,-15.6568192
129913408,11.8361583,-15.6564452
129913250,11.8343543,-15.6583602
129913406,11.8358545,-15.6560074
129913399,11.8360202,-15.6566321
129913411,11.8383794,-15.6544999
129913403,11.8379954,-15.6549891
129913405,11.8376088,-15.655847
129913410,11.8524754,-15.5966031
129913407,11.852588,-15.5966945
129913414,11.8536025,-15.5971897
129913409,11.8361816,-15.6569831
129915217,11.853602,-15.5971787
129915218,11.837499,-15.6561104
129913412,11.8373145,-15.6549004
129913413,11.8375714,-15.6553802
129915219,11.8537971,-15.5970749
129915221,11.8526992,-15.5965835
129915220,11.850452,-15.59696
129913415,11.8494675,-15.5998634
129915222,11.8495738,-15.5996691
129915777,11.837249,-15.6564157
129915776,11.8495031,-15.5998583
129916017,11.8526866,-15.5979579
129915381,11.850054,-15.5964624
129915224,11.8488318,-15.607806
129915380,11.8372245,-15.6559249
129916016,11.8534201,-15.597131
129915774,11.8485446,-15.6080346
129916014,11.8361796,-15.6563993
129916020,11.8538426,-15.5968744
129916015,11.8492422,-15.5996233
129915778,11.8492856,-15.5998076
129916019,11.8527556,-15.596256
129916631,11.8482936,-15.6086957
129916013,11.849618,-15.5999063
129915382,11.8487955,-15.6082601
129916632,11.8503076,-15.5967152
129916641,11.8491311,-15.6077195
129916636,11.848475,-15.6082478
129916021,11.8489225,-15.6076639
129916640,11.8522186,-15.596537
129916018,11.8494001,-15.6067743
129916634,11.8493578,-15.6068732
129916635,11.8481883,-15.6081162
129917117,11.8493753,-15.599741
129916642,11.853572,-15.5969511
129916633,11.8483904,-15.6085011
129915383,11.8488106,-15.6079883
129916643,11.8495207,-15.6000477
129916630,11.8494001,-15.6071388
129915775,11.8483105,-15.6079535
129916651,11.8485808,-15.6085752
129916639,11.848892,-15.6073005
129916644,11.8492157,-15.6071172
129916649,11.8486774,-15.6076022
129916646,11.8484028,-15.6075457
129917123,11.8381842,-15.6547498
129916648,11.8498475,-15.6066044
129917121,11.8492232,-15.5998752
129917124,11.8489104,-15.6074879
129917118,11.8490404,-15.6073334
129917120,11.8481859,-15.6076683
129917119,11.8482344,-15.6082506
129917134,11.8502353,-15.5968614
129913400,11.8485598,-15.6077838
129916650,11.8489912,-15.6071378
129913402,11.8488771,-15.608118
129916637,11.8495331,-15.606555
129916645,11.8491343,-15.6081139
129916647,11.8482759,-15.6076871
129917122,11.8493489,-15.6081634
129917146,11.8479575,-15.6079583
129917144,11.8492459,-15.6075682
129917145,11.8490835,-15.6080478
129917139,11.8363265,-15.6568565
129917150,11.848419,-15.60735
129917151,11.849012,-15.6087717
129913238,11.8494364,-15.6071017
129917148,11.8495081,-15.6076376
129917147,11.8478144,-15.6082483
