osm_id,code,fclass,name,type
37010087,1500,building,,
37010089,1500,building,Intermarket,
37010090,1500,building,,
37010097,1500,building,Empresa Nacional de Distribuição de Electricidade (ENDE) Sede,
164461,1500,building,Policia Económica,
9669498,1500,building,,
37010115,1500,building,,
37010116,1500,building,,
37010124,1500,building,Pavilhão da Cidadela,
37010144,1500,building,Instituto Médio Politécnico Alda Lara,school
164462,1500,building,,school
37010160,1500,building,,
37010162,1500,building,,
37010163,1500,building,,
37010164,1500,building,,
37010177,1500,building,Ministério das Relações Exteriores (MIREX),
37013308,1500,building,,
37013309,1500,building,,
37013310,1500,building,Ministério do Comércio (MINCO),
37013311,1500,building,,
37013312,1500,building,,
37013314,1500,building,,
37013315,1500,building,,
37013316,1500,building,Banco Nacional de Angola (BNA),
37013317,1500,building,Banco de Poupança e Crédito (BPC),
37013326,1500,building,Embaixada do Reino de Marrocos,
37013327,1500,building,Total E&P Angola - TTA1,
37013328,1500,building,Alto Comissariado das Nações Unidas para os Refugiados,
37014689,1500,building,Casa dos Desportistas,
37015809,1500,building,,
37015813,1500,building,,
37015817,1500,building,,
37015818,1500,building,,
37015820,1500,building,,
37015821,1500,building,,
37015822,1500,building,,
37015823,1500,building,,
37015824,1500,building,,
37015825,1500,building,,
37015833,1500,building,,
37015835,1500,building,,
37015836,1500,building,,
37015837,1500,building,,
37015896,1500,building,,
37015897,1500,building,,college
37023640,1500,building,,
37023663,1500,building,,
37023664,1500,building,,
37023665,1500,building,,
37023666,1500,building,,
37053628,1500,building,,
37053639,1500,building,Edifício Kilamba,
37053652,1500,building,Ministério das Finanças (MINFIN),
37053676,1500,building,,
37053679,1500,building,,
37053680,1500,building,,
37053681,1500,building,,
37053682,1500,building,,
37053684,1500,building,,
37053686,1500,building,,
9741733,1500,building,Capitania do Porto de Luanda,public
9741734,1500,building,Capitania do Porto de Luanda,public
37053689,1500,building,,
37053690,1500,building,,
37086021,1500,building,Unicargas,
37086778,1500,building,,
37086784,1500,building,,
37086785,1500,building,,
37086787,1500,building,,
37086794,1500,building,,
37086795,1500,building,,
37086796,1500,building,,
37086797,1500,building,,
