osm_id,code,fclass,name,type
4129324,1500,building,,residential
4129326,1500,building,,residential
4130475,1500,building,,residential
4130654,1500,building,,residential
129859248,1500,building,,
129859249,1500,building,,
129859250,1500,building,,
129859251,1500,building,,
129859372,1500,building,,
129859373,1500,building,,
129859374,1500,building,,
129859375,1500,building,,
129859376,1500,building,,
129859377,1500,building,,
129859378,1500,building,,
129859379,1500,building,,
129859380,1500,building,,
129863854,1500,building,,
129863855,1500,building,,
129863858,1500,building,,
129864007,1500,building,,
129864008,1500,building,,
129864010,1500,building,,
129864011,1500,building,,
129864012,1500,building,,
129864013,1500,building,,
129864014,1500,building,,
129864270,1500,building,,
129864271,1500,building,,
129864272,1500,building,,
129864277,1500,building,,
129864651,1500,building,,
129864652,1500,building,,
129868004,1500,building,,
129868005,1500,building,,
129868008,1500,building,,
129868009,1500,building,,
129869214,1500,building,,
129869215,1500,building,,
129869216,1500,building,,
129869217,1500,building,,
129869218,1500,building,,
129869219,1500,building,,
129869220,1500,building,,
129869221,1500,building,,
129869222,1500,building,,
129869223,1500,building,,
129877091,1500,building,,
129877092,1500,building,,
129877093,1500,building,,
129877094,1500,building,,
129877095,1500,building,,
129889309,1500,building,,
129889311,1500,building,,
129889312,1500,building,,
129889313,1500,building,,
129889317,1500,building,,
129889318,1500,building,,
129889319,1500,building,,
129889320,1500,building,,
129889321,1500,building,,
129889322,1500,building,,
129889456,1500,building,,
129889457,1500,building,,
129889458,1500,building,,
129889459,1500,building,,
129890786,1500,building,,
129890787,1500,building,,
129890788,1500,building,,
129890789,1500,building,,
129892548,1500,building,,
129892550,1500,building,,
129892551,1500,building,,
129892552,1500,building,,
129892553,1500,building,,
129892555,1500,building,,
129892556,1500,building,,
129892558,1500,building,,
129892559,1500,building,,
129892560,1500,building,,
129892562,1500,building,,
129892563,1500,building,,
129892564,1500,building,,
129895806,1500,building,,
129895835,1500,building,,
129900532,1500,building,,
129900533,1500,building,,
129900534,1500,building,,
129900535,1500,building,,
129900536,1500,building,,
129900537,1500,building,,
129900538,1500,building,,
129900539,1500,building,,
129900540,1500,building,,
129900541,1500,building,,
129900542,1500,building,,
129900543,1500,building,,
129900544,1500,building,,
129900587,1500,building,,
129900588,1500,building,,
129900589,1500,building,,
129900590,1500,building,,
129901000,1500,building,,
129901001,1500,building,,
129901002,1500,building,,
129901003,1500,building,,
129901004,1500,building,,
129901005,1500,building,,
129901006,1500,building,,
129901007,1500,building,,
129901008,1500,building,,
129901009,1500,building,,
129901010,1500,building,,
129901011,1500,building,,
129901012,1500,building,,
129901020,1500,building,,
129901021,1500,building,,
129901022,1500,building,,
129901023,1500,building,,
129901024,1500,building,,
129901025,1500,building,,
129901026,1500,building,,
129901027,1500,building,,
129901067,1500,building,,
129901068,1500,building,,
129901069,1500,building,,
129901070,1500,building,,
129901071,1500,building,,
129901072,1500,building,,
129901073,1500,building,,
129901074,1500,building,,
129901075,1500,building,,
129901076,1500,building,,
129901077,1500,building,,
129901078,1500,building,,
129901079,1500,building,,
129901080,1500,building,,
129901081,1500,building,,
129901082,1500,building,,
129901083,1500,building,,
129901084,1500,building,,
129901199,1500,building,,
129901200,1500,building,,
129901201,1500,building,,
129901202,1500,building,,
129901203,1500,building,,
129901204,1500,building,,
129901208,1500,building,,
129901209,1500,building,,
129901210,1500,building,,
129901211,1500,building,,
129901212,1500,building,,
129901258,1500,building,,
129901259,1500,building,,
129901260,1500,building,,
129901261,1500,building,,
129901262,1500,building,,
129901263,1500,building,,
129901264,1500,building,,
129901265,1500,building,,
129901266,1500,building,,
