osm_id,code,fclass,name,type
125358312,1500,building,مدرسة الملك فيصل,public
125359105,1500,building,,
125359106,1500,building,Marché Central السوق المركزي,
125359107,1500,building,,
125359481,1500,building,La Cathédrale الكاتدرائية,
125359631,1500,building,,
125420694,1500,building,,public
126136659,1500,building,قصر 15 يناير,public
126559166,1500,building,الكنيسة الإنجيلية تشاد,church
151304325,1500,building,مسجد هارازاي,
156568703,1500,building,,warehouse
156596495,1500,building,,
156596504,1500,building,,
156596508,1500,building,,
156596516,1500,building,,
156596522,1500,building,,
156596526,1500,building,,
156596527,1500,building,,
156596529,1500,building,,
156596530,1500,building,,
156596538,1500,building,,
156596545,1500,building,,
156596547,1500,building,,
157457087,1500,building,مطار انجمينا الدولي حسن جاموس Aeroport Hassan Djamous,
157457089,1500,building,,
157457092,1500,building,,
157457093,1500,building,مصنع الجعة تشاد Brasseries du Tchad,industrial
157457094,1500,building,,
157457095,1500,building,,
157457096,1500,building,,
157457099,1500,building,,
157457101,1500,building,,
157457103,1500,building,,
157457107,1500,building,,
157457108,1500,building,,
157457110,1500,building,,
157457111,1500,building,,
157457112,1500,building,,
157457114,1500,building,,
157457115,1500,building,,
157457116,1500,building,,
157457117,1500,building,,
157457118,1500,building,,
157457119,1500,building,,
157457120,1500,building,,
157457121,1500,building,,
157457122,1500,building,,
157457123,1500,building,,
157457124,1500,building,,
157457125,1500,building,,
157457126,1500,building,,
157457127,1500,building,,
157457128,1500,building,,
157457129,1500,building,,
157457130,1500,building,,
157457131,1500,building,,
157457132,1500,building,,
157457134,1500,building,,
157457136,1500,building,,
157457137,1500,building,,
157457138,1500,building,,
157457139,1500,building,,
157457140,1500,building,,
157457141,1500,building,,
157457142,1500,building,,
157457143,1500,building,,
157457144,1500,building,,
157457145,1500,building,,
157457146,1500,building,,
157457148,1500,building,,
157457149,1500,building,,
157457150,1500,building,,
157457153,1500,building,,
157457154,1500,building,,
157457155,1500,building,,
157457156,1500,building,,
157457158,1500,building,,
157457159,1500,building,,
157457160,1500,building,,
157457161,1500,building,,
157457165,1500,building,,
157457166,1500,building,,
157457167,1500,building,,
157457169,1500,building,,
157457174,1500,building,,
157457175,1500,building,,
157457176,1500,building,,
157457179,1500,building,,
157457180,1500,building,,
157457181,1500,building,,
157457182,1500,building,,
157457186,1500,building,,
157457187,1500,building,,
157457188,1500,building,,
157457189,1500,building,SETUBA سيتوبا,industrial
157457192,1500,building,,
157457193,1500,building,,
157457194,1500,building,,
157457195,1500,building,,
157457198,1500,building,,
157457199,1500,building,,
157457200,1500,building,,
157457201,1500,building,,
157457202,1500,building,,
157457203,1500,building,,
157457204,1500,building,,
157457205,1500,building,,
157457206,1500,building,,
3393669,1500,building,,public
157943839,1500,building,,
169822847,1500,building,Cathédrale Notre-Dame-de-Lourdes,church
169822850,1500,building,,
169822851,1500,building,,
169822852,1500,building,,
169822853,1500,building,,
169822854,1500,building,,
169822895,1500,building,,
2260793,1500,building,,
169825946,1500,building,,
169825947,1500,building,,
169825948,1500,building,,
169825949,1500,building,,
169825950,1500,building,,
169826739,1500,building,,
169828231,1500,building,Sœurs de la Charité,
169828232,1500,building,,
169828233,1500,building,,
169828234,1500,building,,
169828235,1500,building,,
174766131,1500,building,,
174766132,1500,building,,school
174766133,1500,building,,school
174766135,1500,building,,
174766137,1500,building,,house
174766138,1500,building,,school
174766140,1500,building,,school
179102288,1500,building,الأصابع الخضراء,
180737331,1500,building,,
180737332,1500,building,,
180737333,1500,building,,
180737335,1500,building,,
180737336,1500,building,,
180737338,1500,building,,
180737339,1500,building,,
180737340,1500,building,,
180737341,1500,building,,
180737342,1500,building,,
180737343,1500,building,,
180985567,1500,building,,
180985568,1500,building,,
180985569,1500,building,,
180985570,1500,building,,
183872705,1500,building,Église Saint-Jean de Dombao,church
183992568,1500,building,Institut Universitaire Evangélique معهد جامعة الإنجيلية,university
183992569,1500,building,Institut Universitaire Evangélique معهد جامعة الإنجيلية,university
184153533,1500,building,,
184153534,1500,building,,
184153535,1500,building,,
184153536,1500,building,,
184153537,1500,building,,
184153538,1500,building,,
184153540,1500,building,,
184153541,1500,building,,
184153542,1500,building,,
184159554,1500,building,Hospital Central المستشفى المركزي,
184159560,1500,building,,
184160370,1500,building,,
184160371,1500,building,,
184160372,1500,building,,
184160373,1500,building,,
184160374,1500,building,,
184160375,1500,building,,
184160376,1500,building,,
184160377,1500,building,,
184160378,1500,building,,
184160379,1500,building,,
184160380,1500,building,,
184160381,1500,building,,
184160382,1500,building,,
184161572,1500,building,,
184161573,1500,building,,
184161574,1500,building,,
184161575,1500,building,,
184161576,1500,building,,
184161577,1500,building,,
184161578,1500,building,,
184161580,1500,building,,
184161582,1500,building,,
184161584,1500,building,,
184161585,1500,building,,
184161586,1500,building,,
184161587,1500,building,,
184162346,1500,building,,
184162347,1500,building,,
184162348,1500,building,,
184162349,1500,building,,
184162350,1500,building,,
184162351,1500,building,,
184166712,1500,building,,
184166714,1500,building,,
184166715,1500,building,,
184166716,1500,building,,
184166717,1500,building,,
184166718,1500,building,,
184166719,1500,building,,
184166720,1500,building,,
184166721,1500,building,,
184166722,1500,building,,
184166723,1500,building,,
184166725,1500,building,,
184166726,1500,building,,
184166727,1500,building,,
184166728,1500,building,,
184166729,1500,building,,
184167086,1500,building,,
184167087,1500,building,,
184167089,1500,building,,
184167090,1500,building,,
184167091,1500,building,,
184167092,1500,building,,
184167094,1500,building,,
184167096,1500,building,,
184167097,1500,building,,
184167098,1500,building,,
184167099,1500,building,,
184167101,1500,building,,
184167103,1500,building,,
184167108,1500,building,,
184167110,1500,building,,
184167111,1500,building,,
184167113,1500,building,,
184167114,1500,building,,
184167116,1500,building,,
184167117,1500,building,,
184167119,1500,building,,
184167120,1500,building,,
184167124,1500,building,,
184169274,1500,building,,
184169275,1500,building,,
184169276,1500,building,,
184169277,1500,building,,
184169278,1500,building,,
184169279,1500,building,,
184169280,1500,building,,
184169281,1500,building,,
184169282,1500,building,,
184169283,1500,building,,
184169284,1500,building,,
184169285,1500,building,,
184169286,1500,building,,
184169287,1500,building,,
184169288,1500,building,,
184169289,1500,building,,
184169290,1500,building,,
184169291,1500,building,,
184169292,1500,building,,
184169293,1500,building,,
184169294,1500,building,,
184169295,1500,building,,
184169296,1500,building,,
184169297,1500,building,,
184169713,1500,building,,
184169714,1500,building,,
184169715,1500,building,,
184169719,1500,building,,
184169721,1500,building,,
184169722,1500,building,,
184169723,1500,building,,
184169724,1500,building,,
184169725,1500,building,,
184169738,1500,building,,
184169739,1500,building,,
184169740,1500,building,,
184169741,1500,building,,
184169742,1500,building,,
184169743,1500,building,,
184169744,1500,building,,
184169745,1500,building,,
184169746,1500,building,,
184169747,1500,building,,
184169748,1500,building,,
184169749,1500,building,,
184169750,1500,building,,
184169751,1500,building,,
184169752,1500,building,,
184169753,1500,building,,
184169754,1500,building,,
184169755,1500,building,,
184169756,1500,building,,
184169757,1500,building,,
184169758,1500,building,,
184169759,1500,building,,
184169760,1500,building,,
184169768,1500,building,,
184169769,1500,building,,
184169771,1500,building,,
184171649,1500,building,,
184171651,1500,building,,
184171652,1500,building,,
184171653,1500,building,,
184171654,1500,building,,
184171655,1500,building,,
184171656,1500,building,,
184171657,1500,building,,
184171658,1500,building,,
184171659,1500,building,,
184171660,1500,building,,
184171661,1500,building,,
184171662,1500,building,,
184171663,1500,building,,
184171664,1500,building,,
184171665,1500,building,,
184171666,1500,building,,
184171667,1500,building,,
184171668,1500,building,,
184171669,1500,building,,
184171670,1500,building,,
184171671,1500,building,,
184171672,1500,building,,
184171999,1500,building,,
184172000,1500,building,,
184172001,1500,building,,
184172002,1500,building,,
184172003,1500,building,,
184172004,1500,building,,
184172005,1500,building,,
184172340,1500,building,,
184172341,1500,building,,
184172342,1500,building,,
184172343,1500,building,,
184172344,1500,building,,
184172345,1500,building,,
2452661,1500,building,,
184172347,1500,building,,
184176944,1500,building,,
184176946,1500,building,,
184176947,1500,building,,
184176949,1500,building,,
184176952,1500,building,,
184176953,1500,building,,
184176954,1500,building,,
184176955,1500,building,,
184176957,1500,building,,
184176960,1500,building,,
184176961,1500,building,,
184176962,1500,building,,
184176963,1500,building,,
184176964,1500,building,,
184176966,1500,building,,
184176968,1500,building,,
184176969,1500,building,,
184176970,1500,building,,
184176971,1500,building,,
184176974,1500,building,,
184176976,1500,building,,
184176979,1500,building,,
184176980,1500,building,,
184176981,1500,building,,
184176984,1500,building,,
184176985,1500,building,,
184176987,1500,building,,
184176990,1500,building,,
184176991,1500,building,,
184176992,1500,building,,
184176994,1500,building,,
184176996,1500,building,,
184176998,1500,building,,
184176999,1500,building,,
184177001,1500,building,,
184177003,1500,building,,
184177004,1500,building,,
184177005,1500,building,,
184177007,1500,building,,
184177008,1500,building,,
184177010,1500,building,,
184177012,1500,building,,
184177014,1500,building,,
184177016,1500,building,,
184177018,1500,building,,
184177019,1500,building,,
184177021,1500,building,,
184178431,1500,building,,
184178433,1500,building,,
184178435,1500,building,,
184178436,1500,building,,
184178439,1500,building,,
184178440,1500,building,,
184178441,1500,building,,
184178443,1500,building,,
184178444,1500,building,,
184178446,1500,building,,
184178447,1500,building,,
184178449,1500,building,,
184178452,1500,building,,
184178453,1500,building,,
184178454,1500,building,,
184178456,1500,building,,
184178457,1500,building,,
184178460,1500,building,,
184178461,1500,building,,
184178463,1500,building,,
184181063,1500,building,,
184181064,1500,building,,
184181065,1500,building,,
184181066,1500,building,,
184181067,1500,building,,
184181068,1500,building,,
184181069,1500,building,,
184181070,1500,building,,
184181071,1500,building,,
184181072,1500,building,,
184181073,1500,building,,
184181074,1500,building,,
184181075,1500,building,,
184181076,1500,building,,
184181077,1500,building,,
184181078,1500,building,,
184181079,1500,building,,
184181080,1500,building,,
184181081,1500,building,,
184181082,1500,building,,
184181083,1500,building,,
184181084,1500,building,,
184181085,1500,building,,
184181086,1500,building,,
184181087,1500,building,,
184181088,1500,building,,
184181089,1500,building,,
184181090,1500,building,,
184181091,1500,building,,
184181092,1500,building,,
184181093,1500,building,,
184181094,1500,building,,
184181095,1500,building,,
184181096,1500,building,,
184181097,1500,building,,
184181099,1500,building,,
184181100,1500,building,,
184181101,1500,building,,
184181102,1500,building,,
184181103,1500,building,,
184181104,1500,building,,
184181105,1500,building,,
184181106,1500,building,,
184181107,1500,building,,
184182479,1500,building,,
184182483,1500,building,,
184188821,1500,building,,
184188827,1500,building,,
184188828,1500,building,,
184188830,1500,building,,
184217275,1500,building,,
184217280,1500,building,,
184217281,1500,building,,
184217282,1500,building,,
184217283,1500,building,,
184217284,1500,building,,
184217286,1500,building,,
184217289,1500,building,,
184217291,1500,building,,
184217293,1500,building,,
184217295,1500,building,,
184217296,1500,building,,
184217297,1500,building,,
184217299,1500,building,,
184217302,1500,building,,
184217303,1500,building,,
184217305,1500,building,,
184217307,1500,building,,
184217309,1500,building,,
184217310,1500,building,,
184217315,1500,building,,
184217317,1500,building,,
184217321,1500,building,,
184217322,1500,building,,
184217323,1500,building,,
184217324,1500,building,,
184217325,1500,building,,
184217327,1500,building,,
184217330,1500,building,,
184217332,1500,building,,
184217334,1500,building,,
184217335,1500,building,,
184217337,1500,building,,
184217341,1500,building,,
184217343,1500,building,,
184217344,1500,building,,
184217346,1500,building,,
184217348,1500,building,,
184217351,1500,building,,
184217353,1500,building,,
184217356,1500,building,,
184217358,1500,building,,
184217360,1500,building,,
184217362,1500,building,,
184217363,1500,building,,
184217365,1500,building,,
184217370,1500,building,,
184217372,1500,building,,
184217373,1500,building,,
184217375,1500,building,,
184217377,1500,building,,
184217378,1500,building,,
184217383,1500,building,,
185283559,1500,building,,
185304495,1500,building,,
185304854,1500,building,,
185304855,1500,building,,
185304856,1500,building,,
185304857,1500,building,,
185304858,1500,building,,
185304920,1500,building,,
185304922,1500,building,,
185304931,1500,building,,
185305053,1500,building,,
185305107,1500,building,,
185305345,1500,building,,
185305765,1500,building,,dormitory
185305766,1500,building,,dormitory
185305823,1500,building,,
185305824,1500,building,,
185305845,1500,building,,
185305974,1500,building,السلام والخير Pace e Bene,
185306785,1500,building,,
185306786,1500,building,,
185306788,1500,building,,
185306789,1500,building,,
185306847,1500,building,,
185306848,1500,building,,
185307071,1500,building,,
185307100,1500,building,,
185307160,1500,building,,
185330101,1500,building,,
185330102,1500,building,,
