osm_id,code,fclass,name,type
262043444,1500,building,Heritage Golf Club,
267090865,1500,building,Ile aux Cerfs Craft market,
267090872,1500,building,,
267090874,1500,building,,
267264518,1500,building,,
267264519,1500,building,,
267264520,1500,building,,
267488961,1500,building,,
267488962,1500,building,,
267488963,1500,building,,
267488964,1500,building,,
267488965,1500,building,,
267488966,1500,building,,
267488967,1500,building,,
267488968,1500,building,,
267826945,1500,building,,
267826947,1500,building,,
267826949,1500,building,,
267826951,1500,building,,
267826954,1500,building,,
267826957,1500,building,,
267826958,1500,building,,
267826959,1500,building,,
267826961,1500,building,,
267826962,1500,building,,hut
267826964,1500,building,,
267826966,1500,building,,
267826967,1500,building,,
267826969,1500,building,,hut
267826970,1500,building,,
267826972,1500,building,,
267826974,1500,building,,
267826975,1500,building,,
267826977,1500,building,,
267826979,1500,building,,
267826980,1500,building,,
267826982,1500,building,,
267826983,1500,building,,
269908279,1500,building,,
270046727,1500,building,,
270046728,1500,building,,
270049636,1500,building,,
270049637,1500,building,,
270049638,1500,building,,
271172349,1500,building,La batterie de l'harmonie,tower
275427956,1500,building,Notre Dame des Anges,
275432187,1500,building,,warehouse
275703149,1500,building,,
283581996,1500,building,,
287498913,1500,building,,commercial
287499243,1500,building,,roof
287499310,1500,building,,commercial
287499329,1500,building,,commercial
287499371,1500,building,,
287499385,1500,building,Bambous Village Hall,
287499655,1500,building,,commercial
287499931,1500,building,,commercial
287500658,1500,building,,residential
287500886,1500,building,,
287500887,1500,building,,
287500888,1500,building,,
287500958,1500,building,,
287500960,1500,building,,
287500967,1500,building,,
287501058,1500,building,,
287501059,1500,building,,
287501060,1500,building,,
287501061,1500,building,,
287501068,1500,building,,
287501143,1500,building,,
287501144,1500,building,,
287501206,1500,building,,
287501225,1500,building,,
287501319,1500,building,,
287503665,1500,building,,
287504066,1500,building,,
287505106,1500,building,,
287505108,1500,building,,
287505110,1500,building,,
287961936,1500,building,,
287962475,1500,building,,
287962637,1500,building,,
287962822,1500,building,,
287962823,1500,building,,
287962824,1500,building,,
287962825,1500,building,,
287963073,1500,building,,
287963074,1500,building,,
287963076,1500,building,,
287963077,1500,building,,
287963078,1500,building,LEM Motor Spare Parts,
287963079,1500,building,,
287963080,1500,building,,
289962756,1500,building,Mauritius Telecom,commercial
297229658,1500,building,,
297229660,1500,building,domah commercail centre,
297229661,1500,building,Dr James Burty David Marketplace,
297229662,1500,building,Domah Commercial Centre,
304532191,1500,building,,
305142337,1500,building,,school
305142341,1500,building,,industrial
305143434,1500,building,BPML Building,office
305145013,1500,building,,
305506684,1500,building,La Tour Koenig Government School,school
305508677,1500,building,St Mary's Printing,commercial
305508766,1500,building,Senior Citizen Center,
305508767,1500,building,NTC Garage,
305508770,1500,building,Maritim Center,
305508772,1500,building,,
305510574,1500,building,Le Defi Media Group,
305510575,1500,building,Bhujhoharry college,school
305510576,1500,building,,residential
305510577,1500,building,Ashok,
305510578,1500,building,,residential
305510579,1500,building,,residential
305510580,1500,building,,residential
305510581,1500,building,,residential
305510583,1500,building,,residential
305510584,1500,building,,residential
305510586,1500,building,,
305510587,1500,building,,
305510589,1500,building,,house
305510590,1500,building,,house
305510591,1500,building,,house
305510592,1500,building,,house
305510593,1500,building,,house
305510594,1500,building,,house
305510595,1500,building,,house
305510596,1500,building,,house
305510597,1500,building,,house
305510598,1500,building,,house
305510599,1500,building,,house
305510600,1500,building,,house
305510601,1500,building,,house
305510602,1500,building,,house
305510603,1500,building,,house
305510604,1500,building,,house
305510605,1500,building,,house
305511986,1500,building,,industrial
305511988,1500,building,,
305511989,1500,building,Bala Garage,
305511990,1500,building,Courts,commercial
305556625,1500,building,,house
305556626,1500,building,,house
305556628,1500,building,,apartments
305556629,1500,building,,apartments
305556631,1500,building,,apartments
305556633,1500,building,,apartments
305556634,1500,building,,apartments
305556637,1500,building,,apartments
305556644,1500,building,,apartments
305556646,1500,building,,apartments
305556648,1500,building,,apartments
305556649,1500,building,,apartments
305556650,1500,building,,apartments
305556652,1500,building,,apartments
305556654,1500,building,,apartments
305556655,1500,building,,apartments
305556656,1500,building,,apartments
305556657,1500,building,,apartments
305556658,1500,building,,apartments
305556659,1500,building,,apartments
305556660,1500,building,,apartments
305556661,1500,building,,apartments
305556662,1500,building,,apartments
305556663,1500,building,,apartments
305556664,1500,building,,apartments
305556665,1500,building,,apartments
305556666,1500,building,,apartments
305556668,1500,building,,apartments
305556669,1500,building,,apartments
305556671,1500,building,,apartments
305556672,1500,building,,apartments
305556674,1500,building,,apartments
305556675,1500,building,,apartments
305556677,1500,building,,apartments
305556678,1500,building,,apartments
305556680,1500,building,,apartments
305556682,1500,building,,apartments
305556684,1500,building,,apartments
305556686,1500,building,,apartments
305556688,1500,building,,apartments
305561289,1500,building,CMT,industrial
305564319,1500,building,,
305564320,1500,building,,
305586522,1500,building,,industrial
305586523,1500,building,,industrial
305586524,1500,building,,industrial
305586525,1500,building,,industrial
305586526,1500,building,,industrial
305586527,1500,building,,industrial
305586528,1500,building,,industrial
305586529,1500,building,,industrial
305586530,1500,building,,industrial
305586532,1500,building,,industrial
305586539,1500,building,,industrial
305586540,1500,building,,industrial
305586541,1500,building,,industrial
305586542,1500,building,,industrial
305586544,1500,building,,industrial
305586546,1500,building,,industrial
305586547,1500,building,,industrial
305586548,1500,building,TPS,industrial
305705018,1500,building,,house
305705019,1500,building,,house
305705020,1500,building,,house
305705021,1500,building,,house
305705022,1500,building,,house
305705023,1500,building,,house
305705024,1500,building,,house
305705025,1500,building,,house
305705026,1500,building,,house
305705027,1500,building,,house
305705028,1500,building,,house
305705029,1500,building,,house
305705031,1500,building,,house
305705032,1500,building,,house
305705033,1500,building,,house
305705034,1500,building,,house
305705035,1500,building,,house
305705036,1500,building,,house
305705038,1500,building,,house
305705039,1500,building,,house
305705040,1500,building,,house
305705041,1500,building,,house
305705042,1500,building,,house
305705043,1500,building,,house
305705044,1500,building,,house
305705045,1500,building,,house
305705046,1500,building,,house
305705047,1500,building,,house
305705048,1500,building,,house
305705049,1500,building,,house
305705050,1500,building,,house
305705051,1500,building,,house
305705052,1500,building,,house
305705053,1500,building,,house
305705054,1500,building,,house
305705055,1500,building,,house
305705056,1500,building,,house
305705057,1500,building,,house
305705058,1500,building,,house
305705059,1500,building,,house
305705060,1500,building,,house
305705061,1500,building,,house
305705062,1500,building,,house
305705063,1500,building,,house
305705064,1500,building,,house
305705065,1500,building,,house
305705066,1500,building,,house
305705067,1500,building,,house
305705068,1500,building,,house
305705069,1500,building,,house
305705070,1500,building,,house
305705071,1500,building,,house
305705072,1500,building,,house
305705073,1500,building,,house
305705074,1500,building,,house
305705075,1500,building,,house
305705076,1500,building,,house
305705077,1500,building,,house
305705078,1500,building,,house
305705079,1500,building,,house
305705080,1500,building,,house
305705081,1500,building,,house
305705082,1500,building,,house
305705083,1500,building,,house
305705084,1500,building,,house
305705085,1500,building,,house
305705086,1500,building,,house
305705087,1500,building,,house
305705089,1500,building,,house
305705090,1500,building,,house
305705091,1500,building,,house
305705093,1500,building,,house
305705094,1500,building,,house
305705095,1500,building,,house
305705096,1500,building,,house
305705097,1500,building,,house
305705098,1500,building,,house
305705099,1500,building,,house
305705100,1500,building,,house
305705101,1500,building,,house
305705102,1500,building,,house
305705103,1500,building,,house
305705104,1500,building,,house
305705105,1500,building,,house
305705106,1500,building,,house
305705152,1500,building,,house
305705155,1500,building,,house
305705156,1500,building,,house
305705157,1500,building,,house
305705158,1500,building,,house
305705159,1500,building,,house
305705160,1500,building,,house
305705161,1500,building,,house
305705162,1500,building,,house
305705163,1500,building,,house
305705164,1500,building,,house
305705165,1500,building,,house
305705166,1500,building,,house
305705167,1500,building,,house
305705168,1500,building,,house
305705169,1500,building,,house
305705170,1500,building,,house
305705171,1500,building,,house
305705172,1500,building,,house
305705173,1500,building,,house
305705174,1500,building,,house
305705175,1500,building,,house
305705176,1500,building,,house
305705177,1500,building,,house
305705178,1500,building,,house
305705179,1500,building,,house
305705180,1500,building,,house
305705182,1500,building,,church
305705183,1500,building,,
305705185,1500,building,,
305705186,1500,building,,
305705187,1500,building,,
305705624,1500,building,Temple,
305706142,1500,building,,
305706143,1500,building,,
305706144,1500,building,La Tour Koenig Police Station,
305707468,1500,building,,ruins
305707469,1500,building,Robert,
305707470,1500,building,,
305707472,1500,building,,
305707473,1500,building,,
305707474,1500,building,,
305707475,1500,building,,
305707476,1500,building,,
305707477,1500,building,,
305708956,1500,building,,
305708957,1500,building,,
305708958,1500,building,,
305708959,1500,building,,
305714042,1500,building,,
305714045,1500,building,,
305714046,1500,building,,
305714047,1500,building,,
305714049,1500,building,,
305714050,1500,building,,
305714051,1500,building,,
305714052,1500,building,,
305714053,1500,building,,
305714054,1500,building,,
305714055,1500,building,,
305714056,1500,building,,
305714057,1500,building,,
305714919,1500,building,,house
305714920,1500,building,,house
305714921,1500,building,,house
305714922,1500,building,,house
305714925,1500,building,,house
305714926,1500,building,,house
305714927,1500,building,,house
305714928,1500,building,,house
305714930,1500,building,,house
305714932,1500,building,,house
305714933,1500,building,,house
305714934,1500,building,,house
305714935,1500,building,,house
305714936,1500,building,,house
305714937,1500,building,,house
305714938,1500,building,,house
305714939,1500,building,,house
305714940,1500,building,,house
305714941,1500,building,,house
305714942,1500,building,,house
305714943,1500,building,,house
305714944,1500,building,,house
305714945,1500,building,,house
305714946,1500,building,,house
305714947,1500,building,,house
305714948,1500,building,,house
305714949,1500,building,,house
305714950,1500,building,,house
305714952,1500,building,,house
305714953,1500,building,,house
305714954,1500,building,,house
305714955,1500,building,,house
305714956,1500,building,,house
305714957,1500,building,,house
305714958,1500,building,,house
305714959,1500,building,,house
305714960,1500,building,,house
305714961,1500,building,,house
305714962,1500,building,CMT Spinning Mills,industrial
305714964,1500,building,,industrial
305714965,1500,building,,industrial
305714966,1500,building,,industrial
305714967,1500,building,,industrial
305718518,1500,building,,house
305718519,1500,building,,house
305718520,1500,building,,house
305718521,1500,building,,house
305718522,1500,building,,house
305718523,1500,building,,house
305718524,1500,building,,house
305718525,1500,building,,house
305718526,1500,building,,house
305718527,1500,building,,house
305718528,1500,building,,house
305718529,1500,building,,house
305718530,1500,building,,house
305718532,1500,building,,house
305718533,1500,building,,house
305718535,1500,building,,house
305718536,1500,building,,house
305718537,1500,building,,house
305718539,1500,building,,house
305718541,1500,building,,house
305718542,1500,building,,house
305718543,1500,building,,house
305718544,1500,building,,house
305718546,1500,building,,house
305718547,1500,building,,house
305718549,1500,building,,house
305718551,1500,building,,house
305718553,1500,building,,house
305718554,1500,building,,house
305718555,1500,building,,house
305718556,1500,building,,house
305718557,1500,building,,house
305718558,1500,building,,house
305718559,1500,building,,house
305718560,1500,building,,house
305718561,1500,building,,house
305718562,1500,building,,house
305718563,1500,building,,house
305718564,1500,building,,house
305718565,1500,building,,house
305718567,1500,building,,house
305718568,1500,building,,house
305718570,1500,building,,house
305718571,1500,building,,house
305718573,1500,building,,house
305718575,1500,building,,house
305718576,1500,building,,house
305718577,1500,building,,house
305718579,1500,building,,house
305718580,1500,building,,house
305718581,1500,building,,house
305718582,1500,building,,house
305718583,1500,building,,house
305718584,1500,building,,house
305742002,1500,building,,
305742003,1500,building,,house
305742004,1500,building,,house
305742005,1500,building,,house
305742008,1500,building,,house
305742009,1500,building,,house
305742010,1500,building,,house
305742012,1500,building,Mechanisation Company,
305743169,1500,building,Al Madina Mosque,
305743170,1500,building,JKalachand,
305748568,1500,building,AXA,
305753055,1500,building,,
305753056,1500,building,L'Assamblée de Dieu,
305753058,1500,building,Dry Cleaning Office,
305848445,1500,building,,industrial
305848447,1500,building,,industrial
305848448,1500,building,,industrial
305848449,1500,building,,industrial
305852772,1500,building,SBM,
305852774,1500,building,Accenture,commercial
305852776,1500,building,Auto World,
305853042,1500,building,,
305914497,1500,building,,warehouse
305960014,1500,building,Orange Tower,commercial
305960017,1500,building,,greenhouse
305960018,1500,building,,
306147665,1500,building,Winner's Argy,
306148815,1500,building,VIP Commercial Centre,commercial
306151453,1500,building,CM cOURT,commercial
306151801,1500,building,,
306152054,1500,building,JKalachand,commercial
306154728,1500,building,Garment Factory,
306159413,1500,building,Espace Maison,commercial
306245190,1500,building,,house
306245191,1500,building,,house
306245192,1500,building,,house
306245193,1500,building,,house
306245194,1500,building,,house
306245195,1500,building,,house
306245196,1500,building,,house
306245197,1500,building,,house
306245198,1500,building,,house
306245199,1500,building,,house
306245200,1500,building,,house
306245201,1500,building,,house
306245202,1500,building,,house
306245203,1500,building,,house
306245204,1500,building,,house
306245205,1500,building,,house
306245206,1500,building,,house
306245207,1500,building,,house
306245208,1500,building,,house
306245209,1500,building,,house
306245210,1500,building,,house
306245211,1500,building,,house
306245212,1500,building,,house
306245213,1500,building,,house
306245214,1500,building,,house
306245215,1500,building,,house
306245216,1500,building,,house
306245217,1500,building,,house
306245218,1500,building,,house
306245219,1500,building,,house
306245220,1500,building,,house
306245221,1500,building,,house
306245222,1500,building,,house
306245223,1500,building,,house
306245224,1500,building,,house
306245225,1500,building,,house
306245226,1500,building,,house
306245232,1500,building,,house
306245233,1500,building,,house
306245234,1500,building,Printing,industrial
306245235,1500,building,,house
306245236,1500,building,,house
306245237,1500,building,,house
306245238,1500,building,,house
306245240,1500,building,,house
306245241,1500,building,,house
306245242,1500,building,,house
306245243,1500,building,,house
306245244,1500,building,,house
306245245,1500,building,,house
306245246,1500,building,,house
306245247,1500,building,,house
306245248,1500,building,,house
306245249,1500,building,,house
306245250,1500,building,,house
306245251,1500,building,,house
306245252,1500,building,,house
306245253,1500,building,,house
306245254,1500,building,,house
306245255,1500,building,,house
306245256,1500,building,,house
306245257,1500,building,,house
306245258,1500,building,,house
306245259,1500,building,,house
306245260,1500,building,,house
306245261,1500,building,,house
306245269,1500,building,A W Wong Ltd,industrial
306247745,1500,building,,industrial
306247746,1500,building,,industrial
306247749,1500,building,,industrial
306247751,1500,building,,house
306247753,1500,building,,house
306247755,1500,building,,house
306247756,1500,building,,house
306247758,1500,building,,house
306247759,1500,building,,house
306247761,1500,building,,house
306247763,1500,building,,house
306247764,1500,building,,house
306247765,1500,building,,house
306247766,1500,building,,house
306247767,1500,building,,house
306247768,1500,building,,house
306247769,1500,building,,house
306247770,1500,building,,house
306247771,1500,building,,house
306247772,1500,building,,house
306247773,1500,building,,house
306247774,1500,building,,house
306302371,1500,building,,house
306302372,1500,building,,house
306302373,1500,building,,house
306302374,1500,building,,house
306302375,1500,building,,house
306302376,1500,building,,house
306302377,1500,building,,house
306302378,1500,building,,house
306302379,1500,building,,house
306302380,1500,building,,house
306302381,1500,building,,house
306302382,1500,building,,house
306302383,1500,building,,house
306302384,1500,building,,house
306302385,1500,building,,
306302386,1500,building,,
306302387,1500,building,,
306302388,1500,building,,
306302389,1500,building,,
306302390,1500,building,,
306302391,1500,building,,
306302392,1500,building,,
306302393,1500,building,,
306302394,1500,building,,
