way_id,area
38045211,16520.4
117963509,712.4
38045198,7191.4
138543407,1422.1
117963522,1236.7
139809833,1089.2
138665808,432.6
137924530,281.7
117963517,3868.6
139806962,51.9
137924535,1476.9
53718323,12114.1
140302576,186.0
137926117,302.6
141459581,1187.0
140155552,332.1
139809835,438.8
140157599,3203.4
140081409,2509.8
141584908,1788.3
140302570,565.0
140302594,76.6
140302587,586.5
139809845,812.1
140302572,102.3
188375158,8831.9
139809855,192.5
140303090,1056.7
138666460,9558.1
142160439,2552.9
142077767,1581.7
117963521,3256.1
195787247,485.9
182070637,4664.5
139809843,111.9
188375152,3658.6
196948541,4338.9
142077770,8571.4
140081417,8737.1
39317397,5223.0
142077756,4279.9
196614665,9623.5
139809935,378.3
142077763,5063.9
196949483,1778.0
137924533,3183.6
140302596,553.1
198103772,7777.6
141584907,384.5
196613971,7447.9
142160440,404.3
142160437,801.9
178904086,48837.0
142077761,4423.2
198109828,2321.9
198102480,1203.0
169017927,368.4
140157587,623.3
195787250,484.1
140302601,353.3
189429804,917.7
188375148,3622.7
196949338,1999.0
140302569,155.1
142044697,3706.2
142799749,2863.6
39401733,7124.6
188375149,6674.8
142730849,946.4
139808470,207.5
138665803,407.4
150678521,298.2
138665800,2459.8
140302578,195.8
197309714,1943.9
188375153,9018.2
182070179,3119.4
140155550,717.5
196948542,3883.2
138524602,3313.0
143356803,107049.3
196949116,420.8
196615967,1573.3
196949046,13468.7
142180517,2911.0
141584905,6719.7
142077764,2625.2
140081405,2548.4
142044693,2551.3
141589993,2020.7
139809838,1900.7
142799765,1326.6
188375154,1577.3
198110040,3278.3
141596978,6398.3
142044698,1412.0
140302582,197.1
141593322,994.6
117963513,2529.9
198109826,4800.9
198110412,679.3
198111133,1539.7
198110763,724.8
198113045,2906.7
198405449,3990.0
198110764,1219.1
198112075,4552.4
198248588,1163.8
198407592,4950.8
198111134,10739.0
198407888,3821.0
198252844,1667.7
198408750,25167.4
198408288,25260.9
199277542,1469.4
198407889,1014.4
201229429,233.8
198248974,1594.0
201229432,249.0
201214339,1292.5
210160346,1265.0
203684001,515.4
203684002,493.9
198801939,1250.6
205871758,94.3
215991987,464.2
198407884,2112.8
215991984,101.1
201229431,168.9
215991978,27.1
210160348,294.0
215991985,149.3
215992288,82.9
215991986,84.0
215992289,246.1
215992292,214.3
215992287,77.9
203493445,852.1
210160345,89.2
215992293,309.6
217187397,27.6
215993001,321.1
215991981,98.0
215993000,928.2
215991988,112.1
215991982,114.6
215991980,129.4
215992290,88.7
217188661,102.1
217188660,166.4
217188658,91.8
217188667,108.8
217188665,49.2
217188666,91.6
217188659,35.5
217188664,94.2
217188662,35.4
232684659,1472.9
232685639,647.4
239127429,1194.2
239127404,1562.2
248012724,249.2
239127451,1201.3
239127645,1392.3
226403824,1040.7
254357055,135.5
227010362,251.3
241555638,785.9
252357114,1665.2
247799736,3917.5
241553129,383.1
243783805,202.6
247037735,85.0
241552675,959.3
241570026,1385.1
217188663,43.8
217188668,83.7
252963896,835.6
254353148,21.4
248267733,2967.1
254380277,515.2
239127452,725.5
254357071,89.0
239127403,1540.9
252963008,3384.2
254339996,2419.0
244645493,113.5
254399471,1111.7
248267734,1566.7
239618485,94.3
255989170,299.8
254397192,983.1
255945643,174.1
256484492,290.9
256484563,131.3
256484562,115.5
256484564,119.3
256484567,109.2
256484569,155.3
256484568,139.9
256484570,56.6
256484566,101.4
256484571,211.7
256484573,33.0
256484577,147.6
256484579,168.0
256484580,135.4
256484574,33.6
256484576,41.8
256484583,84.1
256484582,130.6
256484578,149.4
256484587,157.5
256484584,231.1
256484589,96.2
256484595,115.8
256484581,60.9
256484599,164.8
256484585,131.6
256484605,135.3
256484594,85.8
256484592,87.7
256484600,94.6
256484598,94.0
256484591,111.5
256484610,51.9
256484613,59.9
256484607,67.7
256484624,91.5
256484617,82.1
256484619,77.8
256484590,66.0
256484606,71.9
256484623,116.2
256484611,79.5
256484616,262.4
256484620,189.0
256484597,137.8
256484622,105.6
256484615,151.2
256484627,95.1
256484629,103.6
256484633,48.8
256484601,42.7
256484608,107.8
256484618,271.3
256484637,114.3
256484630,207.5
256484632,65.9
256484631,515.0
256484609,127.8
256484625,174.2
256484628,60.0
256484596,79.2
256484638,118.6
256484643,70.5
256484642,73.9
256484634,147.8
256484641,136.0
256484621,142.7
256484652,292.0
256484626,78.8
256484648,103.7
256484646,91.6
256484640,152.1
256484649,58.2
256484659,108.4
256484635,109.5
256484663,200.3
256484654,115.6
256484636,62.9
256484656,132.4
256484639,123.5
256484662,144.2
256484660,85.8
256484661,65.4
256484664,160.2
256484645,40.7
256484647,301.9
256484668,192.8
256484650,42.7
256484666,251.4
256484651,52.9
256484655,65.2
256484657,105.4
256484679,85.8
256484671,166.0
256484673,108.5
256484669,54.4
256484665,117.9
256484667,104.4
256484682,106.6
256484681,118.3
256484670,66.4
256484672,94.7
256484676,64.7
256484683,132.1
256484684,95.0
256484687,103.8
256484688,39.3
256484685,117.8
256484686,54.1
256484690,97.2
256484702,111.6
256484714,92.6
256484694,60.6
256484718,46.0
256484689,462.7
256484696,101.4
256484708,30.9
256484691,190.0
256484727,184.6
256484726,86.1
256484704,70.9
256484716,238.0
256484732,88.5
256484700,141.9
256484733,39.2
256484728,94.8
256484736,78.3
256484734,199.8
256484731,50.3
256484723,144.6
256484737,104.0
256484745,157.5
256484743,44.4
256484738,80.6
256484735,71.3
256484742,51.2
256484740,85.8
256484748,109.1
256484746,58.3
256484729,112.2
256484749,109.0
256484754,114.8
256484744,141.1
256484751,187.4
256484757,303.1
256484753,98.3
256484761,145.5
256484750,76.4
256484747,123.4
256484759,100.7
256484762,204.8
256484773,589.6
259330761,692.0
256484772,296.0
256484752,112.4
256484760,212.4
259330767,279.8
259526700,259.2
259526699,308.8
257540956,1057.9
258145612,265.9
256484758,153.9
256484763,150.1
259526702,391.9
259330766,356.5
259213083,1251.0
259527787,186.8
259527780,1041.7
259213084,451.5
258145615,50.4
259732560,837.1
259527785,258.0
259527789,16.3
259526698,114.1
259526705,31.5
262055475,72.7
259526704,151.2
264415695,72.3
261638505,239.8
259526701,257.3
259526703,139.8
259330774,745.5
259732562,942.2
262055474,63.3
259732808,13603.3
259527788,307.0
264449340,627.0
259527790,1673.2
262426550,2601.6
264449344,958.0
262055473,54.4
263301743,4170.4
264422958,1131.6
259527786,212.1
262055484,12.1
263864403,1853.2
264451494,465.7
259731498,166.9
260729551,511.1
264451487,287.4
264451493,632.1
