way_id,area
60438992,90.4
51533535,200.4
68429951,786.9
24601613,12401.5
68429962,89.4
68430034,204.9
68430061,147.5
68430022,461.7
68430080,118.0
68429933,244.5
68429953,83.2
51533537,253.4
68430342,112.7
68430220,157.5
68430436,236.8
68430291,190.9
68429900,164.0
68430312,351.8
68429934,89.1
116985878,1348.6
68615890,304.5
51533534,202.4
68430269,505.6
116985886,2775.2
80952812,1342.1
51533538,260.7
68430019,225.1
51533541,210.9
68430145,176.9
116985879,1618.3
68429835,324.3
68430134,353.6
68430489,114.6
68607168,308.5
68430271,255.8
66264346,2541.6
116987487,4022.8
68430194,3092.6
68429928,48.6
51533532,2130.6
68430009,72.9
68623376,121.7
68623489,52.9
51535849,11809.6
68430408,101.8
68430430,292.0
68430214,188.4
68430321,74.9
68430263,121.5
51533536,248.3
68430385,236.3
68430091,136.2
51533539,192.0
68430496,391.1
68430090,297.6
68430463,405.4
68607252,354.7
51533542,207.8
68607225,314.0
68430149,255.7
68430099,832.0
51535847,3543.4
68430392,172.7
68430201,114.6
66264358,3290.4
68430191,140.0
68429981,191.0
68430248,114.6
68607207,292.5
68429841,97.7
68430200,166.6
51533533,210.3
32121949,800.6
68607247,392.8
68430038,144.6
68430109,114.6
68430506,241.9
117085716,2334.2
117085715,507.5
68430451,215.0
68430481,379.6
68430501,94.8
68430204,148.1
68430382,78.7
68429948,190.9
68430169,413.2
68430135,92.6
68607263,290.5
68430362,12017.6
68430116,190.9
60209359,512.7
68430355,187.8
68430071,531.1
68430277,731.4
116985881,6212.8
116987488,3454.2
68615867,315.4
116987486,8949.6
68430148,114.6
117365985,424.9
117085717,5164.6
117367358,493.6
117368492,332.5
117368499,338.4
117368494,483.4
142831233,623.3
142831227,469.5
117368696,1165.4
142831223,342.9
117368090,113.5
117365987,407.2
117368116,344.6
117369056,150.7
117369331,332.7
142831232,719.0
142831239,250.4
142831224,373.1
142831229,284.5
117368497,111.1
142831231,1299.6
117365984,418.0
142831257,249.5
117368889,1546.6
142831225,517.0
142831238,39.1
142831246,261.0
142831259,267.4
117365986,413.6
142831241,116.2
142831249,248.0
142831260,223.7
142831252,518.6
142831243,351.4
142831251,246.6
117368091,521.8
142831235,123.0
142831250,458.9
68430270,172.9
142831269,273.0
142831256,195.3
142831276,447.6
142831248,91.2
142831253,141.3
142831282,112.2
142831280,298.6
142831278,117.5
142831287,26.0
142831262,252.6
142831263,239.4
142831292,143.5
142831266,342.1
142831288,150.2
142831274,310.0
142831273,163.9
142831293,184.6
142831295,236.4
142831279,208.1
142831301,139.8
142831270,865.2
142831308,169.2
142831310,253.7
142831283,202.3
142831306,137.5
142831328,415.3
142831327,33.7
142831304,404.2
142831319,179.6
142831322,312.9
142831272,249.2
142831330,269.3
142831271,118.4
142831300,173.5
142831275,103.2
142831302,166.8
142831312,208.9
142831329,114.0
142831267,398.0
142831277,239.6
142831336,313.3
142831325,233.8
142831318,101.0
142831307,108.1
142831296,209.6
142831309,252.4
142831316,238.5
142831286,255.7
142831285,430.6
142831303,239.9
142831314,104.5
142831331,120.0
142831284,104.5
142831320,261.4
142831315,361.1
142831290,108.0
142831297,239.5
142831299,171.0
142831298,249.8
142831332,138.9
142831311,98.2
142831338,338.6
142831342,110.3
142831339,162.5
142831344,346.3
142831346,619.9
142831354,619.5
142831356,210.7
142831368,262.7
142831347,229.3
142831363,99.5
142831352,211.7
142831380,252.2
142831364,73.4
142831379,306.3
142831376,380.9
142831385,403.5
142831402,457.0
142831388,431.9
142831365,249.3
142831392,1430.1
142831401,401.9
142831367,358.5
142831383,326.2
142831413,541.3
142831378,247.3
142831405,373.4
142831393,384.9
142831372,174.2
142831355,244.1
142831351,194.9
142831395,298.7
142831375,312.0
142831407,446.0
142831382,1423.0
142831410,325.0
142831394,432.7
142831406,560.3
142831373,118.7
174412481,82.0
174411386,3166.8
174411385,648.7
142831415,324.2
174411361,640.3
