way_id,area
114573111,1010.8
97938206,546.1
114573114,299.8
114573108,639.0
22909133,7318.4
114573123,657.1
79086561,2491.5
114573124,397.9
78357294,2750.5
114573136,395.7
109845323,2400.6
97955192,1554.3
114573149,392.7
114573133,6168.4
96621892,2173.0
96614585,26351.4
114573099,2246.9
97938204,2736.7
158587920,1905.6
114573144,1507.6
114573101,1978.8
158575980,394.9
114573158,1018.8
97955188,1912.9
117442425,2770.8
78357291,7361.5
114573135,401.3
158575968,463.9
114573130,278.4
114573126,1468.5
114573122,1377.2
96621890,2406.6
22909139,1877.7
78357293,1329.5
158575973,483.2
114573097,1536.0
97955193,9392.9
94517360,806.1
114573148,260.5
114573131,406.8
114573121,837.6
79086334,1575.8
114573157,406.9
97955198,1300.3
114573125,2670.1
117441753,8398.3
172972089,2177.0
176593732,85.8
176593735,238.0
176596543,1739.6
176593734,1319.7
179041980,61.0
204254905,6282.4
204352585,125.6
178840883,13.4
204352593,202.7
176596542,1062.7
178815429,93.4
206290342,2501.4
204352592,197.1
206290665,2538.2
206381090,6965.9
189411885,211.6
200519316,27336.7
206479648,10856.5
206662682,302.3
176593737,1490.4
176593736,3170.6
178808812,195.1
207159881,470.0
210625454,142.1
210625459,156.5
210625461,156.1
210625460,160.9
210627571,160.0
210627572,151.7
210625456,172.0
210627588,167.1
210627577,133.8
210627582,163.9
210627587,156.2
210627586,157.0
210627575,144.1
210627593,171.6
210627574,189.8
210627592,156.2
210627576,158.9
210627589,176.6
210627580,172.3
210627583,144.7
210627573,169.5
210627584,141.0
210627590,155.6
210627581,155.1
210627594,155.9
210627600,143.0
210627595,166.7
210627602,177.9
210627605,157.5
223529939,727.9
210627601,167.3
210627606,144.8
223529938,277.1
223524041,1881.1
210627607,166.2
220390794,147.8
223559505,186.6
211082719,24945.6
223531068,1756.6
210627604,157.0
223529941,838.3
223529935,251.7
210627597,162.5
224268361,68909.0
210627603,139.6
231204354,21795.8
238060663,376.9
238061373,2358.8
238060899,240.2
238061626,766.1
238059402,2251.8
238117708,8157.7
251185136,468.4
245264945,6549.2
256686852,1215.8
262043444,1456.8
238114711,920.1
267090872,1958.6
238114023,716.6
254303618,2074.0
252916148,21898.7
262042845,602.6
267090874,112.5
267090865,290.8
223723918,278.7
267264519,48.4
267264518,127.0
267488961,17.2
267264520,17.5
267488962,25.3
267488963,39.6
267488966,20.7
267488967,26.0
267826947,226.9
267488964,10.4
267488968,21.7
267488965,31.2
267826949,67.4
267826951,59.3
267826957,432.8
267826945,548.3
267826954,364.3
267826958,60.4
267826959,359.3
267826961,53.0
267826962,11.5
267826970,50.1
267826967,55.7
267826964,422.3
267826966,226.0
267826969,24.7
267826972,49.8
267826974,52.8
267826975,99.0
267826983,58.9
267826979,97.1
267826982,590.7
270046728,584.6
267826977,33.2
267826980,114.1
270049636,137.4
269908279,354.2
270049637,240.0
270046727,1623.6
270049638,116.2
275427956,700.9
275432187,6409.3
271172349,101.1
283581996,171.0
275703149,259.4
287498913,961.7
287499371,364.1
287499310,180.5
287499243,96.4
287499329,268.1
287499655,1207.4
287500658,276.6
287500887,206.0
287499931,448.3
287499385,253.8
287500888,130.6
287500960,118.6
287500958,156.3
287500886,350.1
287500967,310.7
287501058,240.5
287501059,157.4
287501068,248.3
287501206,448.0
287501143,195.7
287501060,160.3
287504066,775.4
287501061,348.1
287503665,184.4
287501144,153.3
287501319,211.7
287501225,129.3
287961936,1775.1
287505108,236.5
78356851,4335.3
287962637,1005.9
42441518,2679.3
42441515,1936.6
287505110,637.7
78356855,506.0
287962822,995.6
158575999,917.1
78357232,7747.6
33141493,2295.2
153856152,487.4
158584762,1055.3
117551184,5093.2
287962475,1647.0
78357227,14281.0
117551188,5165.3
78356071,18243.8
117551185,5240.6
287962823,344.0
287962824,157.5
114573098,157.1
297229658,84.5
287963077,123.0
304532191,297.4
170362036,5935.0
305145013,100.5
305143434,2228.7
305508770,4659.1
305142341,4229.9
305510575,6381.6
305142337,1222.9
305508766,12665.1
305510578,85.0
305508767,7297.9
305510576,129.9
204357389,231.6
205773133,487.7
210625452,155.9
210625453,175.0
208171768,2200.4
305510581,213.7
305510583,111.0
305510584,208.2
305510586,167.5
305510589,188.4
305510591,188.9
305510592,121.3
305510593,101.8
305510597,123.7
305510594,96.1
305510599,380.6
305510598,127.0
305510596,106.1
305510600,485.1
305510601,411.5
305510603,447.0
305510605,509.9
305510602,354.8
305510604,132.8
305511986,1069.8
305511988,44.5
305511990,5050.4
305511989,1053.6
305556625,224.7
305556628,425.8
305556631,566.6
305556629,484.8
305556634,497.2
305556644,454.1
305556626,214.2
305556637,420.9
305556633,383.9
305556648,555.4
305556646,468.0
305556650,508.2
224088188,443.7
224088187,925.8
305556652,465.3
305556649,488.0
305556654,581.6
305556655,1033.0
305556656,860.7
305556657,732.0
305556659,985.8
305556658,1208.5
305556662,1188.9
305556661,1536.4
305556660,821.3
305556665,1578.6
305556666,1549.4
305556664,1455.9
305556671,743.8
305556668,1104.1
305556663,750.4
305556669,1039.2
305556675,969.5
305556677,1205.1
305556674,1320.0
305556682,1630.7
305556686,1194.3
305556688,810.7
305561289,37851.4
305564320,1401.9
305586522,3008.8
305564319,731.0
305586523,2295.5
305586524,1180.7
305586525,2667.8
305586528,940.7
305586526,2815.1
305586527,2602.8
305586529,1092.9
305586530,930.2
305586539,2470.1
305586532,1149.3
305586540,1723.4
305586541,2241.2
305586542,200.1
305586547,2059.1
305586544,10967.8
305586546,7514.8
305705021,92.7
305705019,222.8
305705020,99.5
305705022,63.0
305705023,115.3
305705024,126.2
305705026,112.2
305705027,211.1
305705025,142.8
305705028,104.0
305705029,259.0
305705031,82.6
305705032,192.8
305705033,165.2
305705035,187.4
305705036,142.6
305705039,71.1
305705034,178.8
305705040,99.9
305705038,80.4
305705041,82.3
305705043,107.1
305705042,83.5
305705045,105.4
305705044,123.5
305705046,108.9
305705047,114.0
305705049,115.6
305705048,109.6
305705050,359.1
305705051,139.9
305705052,104.2
305705055,185.1
305705053,73.7
305705056,284.3
305705054,58.0
305705057,283.8
305705058,83.9
305705059,87.8
305705060,107.8
