way_id,area
37013309,872.3
37010177,1742.8
37015833,2313.7
37053682,2237.2
37013317,658.7
37023665,608.2
37087478,6804.0
37015818,1618.6
37086784,2751.5
37013316,7746.4
37086826,1469.1
37053690,691.2
37015809,2715.6
37013312,3148.7
37086825,2111.3
37053628,2128.9
37013310,1795.4
37086797,1376.7
37053639,2297.3
37086794,2306.4
37010087,3479.1
37010162,1034.7
37086817,1493.7
37053681,2832.6
37086778,1375.6
37086800,995.6
37087477,1498.0
37086806,1793.8
37086818,1142.5
37015825,1680.9
37086802,1645.3
37015820,400.6
37013328,1821.9
37010144,1836.8
37086787,2015.2
37015823,689.1
37010115,1171.2
37013314,4557.5
37015836,1999.7
37023664,639.7
37015837,976.6
37023640,13422.1
37010160,359.1
37087480,7642.6
37087481,4210.8
37087484,6482.8
37087490,1142.6
37087495,434.4
37087489,698.0
37087487,5896.0
37087486,5914.5
37087494,369.1
37087502,562.6
37087501,1386.7
37087510,469.4
37087516,1041.7
37087520,3063.7
37087504,2711.2
37087508,687.2
37087505,1653.9
37087511,3918.7
37087507,3318.1
37087513,443.0
37087523,3405.3
37087514,383.4
37087522,439.6
37086814,1876.6
37053686,4115.4
37086796,1376.6
37053676,2832.8
37086820,1482.5
37053679,2832.8
37087526,658.3
37086821,2697.4
37087525,2788.2
37013327,774.6
37010124,5239.5
37015897,6035.7
37053689,687.7
37087529,1572.6
37010097,6521.6
37087528,729.9
37087532,10133.5
37087531,2212.8
50464156,8434.4
50543690,1928.6
50543751,2362.1
50543777,1749.7
50543698,3022.5
50548410,5304.8
37015813,8323.5
50548412,11308.6
37086803,1765.7
37087475,3471.7
50548422,15424.1
50548421,2144.4
37086805,4348.3
37086799,1689.6
37086829,1770.8
37086812,1226.5
37015822,442.9
50548449,971.7
50560880,3692.9
50560874,3366.2
50548413,12878.4
50560882,6456.6
50560886,6409.1
50560887,6553.0
50548409,6039.4
50560889,3823.6
37087483,4092.4
50560883,7326.7
50560893,6684.2
50560925,30802.8
50560894,6511.8
50560933,15731.4
50560961,1159.7
50563131,262.7
50563137,304.1
50543773,1848.9
50563142,215.6
50563144,269.9
50563147,650.5
50563151,379.3
50563159,603.3
50563157,397.9
50563162,2594.6
50563145,599.5
50563163,2282.6
50563156,557.3
50543703,1965.2
50563160,561.0
50543735,2672.7
50563168,778.6
50563165,1417.9
50563176,3838.0
50563166,3773.0
50563169,1410.9
50635999,3864.4
50636006,2240.4
50560879,4084.4
50636012,3847.9
50636010,4088.0
50636001,11751.7
60167078,2041.3
60333205,810.2
60152756,1318.4
60132356,9787.1
60333218,935.1
60120339,1092.7
60333226,903.9
60333225,698.1
60333228,802.2
60333229,720.9
60333239,748.0
60333237,776.6
50560890,3974.4
60334858,1444.4
60334854,1009.5
60443745,15614.2
60333217,711.5
60352087,12315.7
61727769,12352.6
61787788,467.3
61787798,484.1
61787815,500.4
61787840,761.4
61797711,2343.8
61814329,3290.9
61814330,3101.7
61814337,876.3
61814332,5482.2
61814335,3795.6
61814452,1335.0
61815127,1028.3
61815886,1028.4
60120337,4503.4
61816284,1024.5
61869974,1047.9
61870010,1207.2
61870067,1309.9
61870099,840.3
61870208,558.3
61884992,484.9
61885002,3280.5
61885526,428.7
61885523,428.7
61884995,1273.3
61885915,2094.3
61885926,2183.3
61885540,428.7
62125010,3517.1
62125016,1505.9
62372074,1910.4
62645708,7375.9
37010089,2585.0
37023663,567.1
37086828,4163.0
37087476,2869.1
37015824,2157.4
37053652,1689.8
37015821,775.8
37015896,1399.3
37013308,1177.0
37013311,5323.1
37086804,757.2
37086785,2275.9
9741734,124.3
62645719,3561.9
37086021,2829.5
62645720,3070.2
37086798,2056.1
37086801,556.3
62646474,6285.9
62646475,8912.5
37015835,487.3
37086822,2697.4
37013326,2155.9
62646477,5171.2
62646478,5171.2
62646481,6734.3
62646480,4901.6
37053680,2833.2
62646484,2204.9
37010163,912.1
37086819,1364.2
37086811,3340.6
62646485,2734.6
67490765,1799.7
37087479,4322.6
