way_id,area
4129326,294.5
129859248,227.5
4129324,291.1
129859251,188.5
129863858,811.7
129868005,201.2
129859373,273.8
129859380,261.2
129864012,157.4
129859377,295.8
129859372,372.0
129869216,61.4
129864008,734.6
129864270,262.6
129869217,61.4
129859379,281.8
129859249,241.0
129877095,236.4
4130654,263.4
129869221,61.4
129889321,160.2
129868004,262.6
129890787,293.9
129890788,204.4
129877091,193.2
129864013,498.7
129892559,174.2
129892564,224.8
129889458,146.5
129864651,247.2
129877093,365.7
129892550,174.2
129892552,380.6
129892556,380.7
129864652,204.9
129859378,416.8
129900543,593.7
129889320,119.6
129869214,61.4
129864007,186.5
129900588,435.1
129877094,301.1
129889317,243.5
129859250,132.1
129900544,519.8
129889459,256.3
129869223,147.7
129900540,184.7
129869215,61.4
129869222,147.6
129864010,180.4
129892560,1106.0
129900538,175.3
129892551,174.2
129895806,970.7
129900533,97.2
129889311,226.3
129889313,246.9
129889312,264.8
129892553,174.2
129892562,174.2
129859374,267.3
129900539,64.8
129889309,212.1
129859376,301.0
129900532,992.2
129900541,71.7
129864277,1340.3
129889318,266.9
129864271,241.0
129863855,1334.1
129889319,208.4
129889456,61.3
129889322,301.1
129869220,61.4
129869219,61.4
129868009,43.0
129864014,2543.1
129859375,293.4
129890789,256.2
129868008,224.9
129864011,961.9
129864272,278.1
4130475,408.6
129900535,65.5
129900536,271.6
129892563,174.2
129890786,182.5
129900537,1701.3
129877092,210.8
129869218,61.4
129900534,162.2
129892558,174.2
129892555,280.3
129889457,145.7
129900542,556.9
129900587,217.7
129900589,162.6
129901000,180.6
129901002,253.0
129901003,202.5
129900590,162.6
129901006,202.3
129901004,267.5
129901007,213.4
129901009,178.0
129901008,181.0
129901025,178.0
129901010,266.3
129901023,235.4
129901026,319.6
129901005,181.0
129901021,290.1
129901075,182.9
129901012,212.7
129901076,295.7
129901072,220.2
129901024,345.0
129901082,170.6
129901074,232.5
129901067,232.1
129901070,213.6
129901011,146.2
129901022,260.8
129901078,271.0
129901073,138.7
129901027,293.7
129901001,357.6
129901083,176.1
129901080,176.6
129901068,68.7
129901079,213.1
129901081,239.7
129901201,154.0
129901210,304.7
129901077,240.1
129863854,519.2
129892548,174.3
129901020,184.4
129901071,38.3
129901069,215.5
129901199,161.7
129901204,334.1
129901208,206.0
129901200,227.5
129895835,1726.5
129901203,220.0
129901212,271.1
129901263,191.8
129901211,286.2
129901262,227.4
129901084,313.8
129901274,226.8
129901276,289.7
129901283,187.4
129901202,173.1
129901259,186.3
129901261,256.7
129901209,275.8
129901265,231.4
129901285,295.2
129901271,268.5
129901273,223.6
129901258,206.1
129901269,236.7
129901311,203.7
129901288,245.7
129901289,214.4
129901316,206.3
129901272,196.0
129901290,169.0
129901264,140.6
129901270,239.4
129901287,227.9
129901370,337.4
129901286,201.1
129901309,305.3
129901308,270.3
129901312,268.0
129901371,272.9
129901281,250.5
129901268,298.0
129901314,119.6
129901313,217.1
129901307,273.1
129901267,191.5
129901282,236.6
129901277,188.6
129901310,200.5
129901279,250.3
129901280,192.9
129901275,278.1
129901266,272.2
129901260,279.9
129901278,189.5
129901315,44.6
129901284,262.9
129901372,181.3
129901380,56.0
129901379,128.7
129901383,147.7
129901381,156.4
129901384,40.7
129901385,192.2
129901382,241.4
129901388,338.2
129901386,269.2
129901391,197.1
129901392,200.0
129901413,216.6
129901389,268.1
129901415,211.2
129901430,270.1
129901433,246.1
129901487,196.3
129901390,233.9
129901492,235.0
129901434,208.6
129901488,326.4
129901443,266.4
129901397,217.8
129901431,297.9
129901394,245.1
129901445,271.5
129901417,235.6
129901444,218.4
129901452,207.3
129901486,177.5
129901485,64.7
129901450,319.7
129901490,326.1
129901449,237.7
129901446,398.7
129901497,213.2
129901416,180.3
129901395,319.7
129901396,229.4
129901495,192.4
129901489,223.2
129901500,263.9
129901451,169.0
129901493,204.8
129901531,182.3
129901447,46.0
129901496,313.2
129901484,273.9
129901448,189.1
129901499,189.0
129901867,317.7
129901529,254.2
129901869,279.6
129901530,205.0
129901532,256.3
129901494,227.4
129901527,48.2
129901544,54.5
129901418,192.2
129901432,23.1
129901491,152.9
129901872,203.0
129901876,162.6
129901875,220.8
129901878,325.0
129901528,307.7
129901873,217.6
129901879,226.9
129901890,205.0
129901871,199.2
129901533,287.6
129901866,345.6
129901498,227.2
129901889,283.2
129901883,266.2
129901865,119.5
129901893,247.8
129901955,263.1
129901882,298.4
129901884,276.5
129901958,232.7
129901868,265.7
129901894,396.0
129901885,202.4
129901874,84.3
129901881,232.0
129901956,148.7
129901957,459.7
129901954,224.3
129901887,35.6
129901870,238.6
129901877,241.9
129901888,97.0
129901880,285.4
129901886,240.5
129901891,231.0
129901959,249.2
129901960,290.0
129901892,121.4
129901995,211.3
129901964,183.6
129901965,160.6
129901998,24.1
129901963,234.8
129901997,125.6
129901994,293.6
129901961,37.6
129901996,167.2
129902003,237.0
129902000,255.8
129902004,80.0
129902002,415.4
129902001,256.7
129901999,241.8
129902005,252.6
129902009,78.8
129902010,255.1
129902012,215.5
129902008,236.5
129902189,277.6
129902187,195.3
129902011,144.4
129902192,297.8
129902006,198.9
129902033,291.3
129902191,159.0
129902036,264.2
129902196,202.4
129902188,198.3
129902034,150.8
129902194,123.5
129902195,233.0
129902039,329.4
129902190,260.8
129902198,268.6
129902038,192.0
129902007,212.7
129902035,240.7
129902308,140.3
129902302,181.9
129902306,125.4
129902037,337.9
129902203,139.3
129902307,300.8
129902199,175.6
129902202,349.0
129902315,312.7
129902204,111.5
129902305,251.2
129902197,85.9
129902201,259.6
129902301,326.4
129902193,339.1
129902304,301.0
129902323,232.4
129902314,239.5
129902318,169.7
129902313,261.2
129902200,193.8
129902312,185.7
129902310,228.4
129902321,244.2
129902327,207.4
129902352,159.3
129902324,213.7
129902326,149.1
129902309,164.6
129902452,66.3
129902325,202.6
129902348,169.9
129902303,250.7
129902316,118.2
129902354,157.3
129902460,72.4
129902347,37.8
129902311,85.2
129902353,530.7
129902457,231.7
129902459,234.8
129902350,48.0
129902346,198.4
129902453,143.9
129902456,176.9
129902322,281.4
129902349,251.8
129902328,429.3
129902345,284.9
129902320,508.0
129902455,121.4
129902458,283.5
129902329,271.1
129902351,79.9
129902319,328.1
129902317,306.2
129902357,1404.5
129902461,145.3
129902454,182.4
129902356,323.5
129902355,309.0
129902463,105.0
129902462,366.6
129902471,90.1
129902468,193.2
129902465,271.1
129902470,278.1
129902466,223.7
129902464,151.2
129902467,156.4
129902474,63.7
129902472,144.3
129902469,264.4
129902477,362.1
129902475,432.9
129902473,42.7
129902476,203.5
129902478,213.1
129902479,181.6
129902546,75.1
129902548,95.2
129902540,276.9
129902537,145.2
129902545,87.5
129902543,138.8
129902533,144.6
129902538,134.1
129902534,200.4
129902536,160.6
129902552,213.4
129902542,82.2
129902539,199.3
129902563,208.3
129902558,110.8
129902553,148.1
129902557,231.4
129902535,45.6
129902549,92.9
129902550,122.9
129902555,298.6
129902564,225.5
