"City;Population"
"Bissau;387,909"
"Bafatá;29,55"
"Gabú;43,55"
"Bissorã;9,89"
"Bolama;5,026"
"Cacheu;5,891"
"Bubaque;4,484"
"Catió;5,08"
"Mansôa;8,31"
"Buba;7,898"
"Quebo;5,454"
"Canchungo;12,044"
"Farim;9,005"
"Quinhámel;5,82"
"Fulacunda;1,592"
