way_id,*nodes_id
114573111,1297488960,1297488767,1297489014,1297489231,1297488960
97938206,1133547923,1133547903,1133547927,1133547929,1133547923
114573114,1297489555,1297489248,1297488815,1297488998,1297489555
114573108,1297489029,1297488829,1297489404,1297489083,1297488883,1297489481,1297489135,1297488939,1297489470,1297489124,1297488931,1297489526,1297489029
22909133,246648221,5078961168,5078961169,6993518732,5078961170,5078961171,246648222,5078961167,246648223,5078961162,246648224,246648221
114573123,4993306819,4993306820,4993307521,4993307522,1297489480,1297489134,1297488938,1297489537,1297489204,1297488989,4993306816,4993306817,4993306818,1297488789,1297489313,1297489103,1297488914,1297489503,1297489164,4993306819
79086561,924214324,924214379,924214329,924214319,924214389,3102367486,924214364,924214324
114573124,1297489192,1297488984,1297489295,1297488905,1297489192
78357294,919789007,919789033,919789038,919789061,919789007
114573136,1297488990,1297488790,1297489315,1297489041,1297488844,1297489425,1297489167,1297488962,1297488768,1297489263,1297489015,1297488818,1297488990
109845323,1256459275,4998806357,4998806356,4998806358,3754107591,1256459273,1256459274,1256459272,4998806359,4998806360,4998806361,4998806362,1256459275
97955192,1133762059,1133762070,1133762121,1133762052,1133762059
114573149,1297489411,1297489087,1297489484,1297488943,1297489411
114573133,1297489142,1297488946,1297489223,1297489532,1297488985,1297489299,1297488838,1297489160,1297489557,1297489010,1297489353,1297488802,1297489052,5101777970,5101777969,1297489452,5101777968,5101777967,5101777966,5101777965,1297489142
96621892,1119164997,1119164978,1119164968,1119164998,1119164997
96614585,1119066796,4971663584,4971663585,5250362786,4971663580,4971663579,4971663581,4971663582,4971663583,4971663586,4971663596,4971663591,5250362785,4971663590,4971663589,4971663592,4971663593,4971663594,1119066708,5250362791,5250362790,5250362789,5250362788,5250362787,4971663598,1119066696,4971663576,5250343107,1119066799,5250362792,1119066759,1119066796
114573099,1297489544,1297489229,1297488804,1297489113,1297489516,1297488969,1297489544
97938204,1133547908,1133547911,1133547931,1133547899,1133547905,1133547930,1133547925,1133547928,1133547908
158587920,1707560981,1707560973,1707560978,1707560982,1707560983,1707560981
114573144,1297489507,1297489281,1297488828,1297489078,1297489477,1297488870,1297489118,1297489522,1297488975,1297489141,1297489507
114573101,1297489080,1297489479,1297488937,1297489120,1297489523,1297488976,1297489474,1297489287,1297488933,1297489193,1297489137,1297488887,1297488896,1297489035,1297489542,1297488999,1297489201,1297488788,1297489080
158575980,1707469348,1707469388,1707469382,1707469342,1707469348
